git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,component_id,status,message,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,phase_microseconds,peak_memory_bytes
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,endpoint-dense-tabs,endpoint-contact,1,verified,,57,36,0,16,8,8,16,32,32,64,17,40,40,16,40,32,35,56,8,8,9,"{""biclique_partition"":24,""boundary_effective_chords"":26,""compressed_flow"":5,""dominance_embedding"":5,""geometric_completion"":18}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,endpoint-near-identical-minus-one-cell,endpoint-contact,1,verified,,56,32,0,14,7,6,13,20,20,42,9,26,26,13,26,20,24,39,6,6,8,"{""biclique_partition"":13,""boundary_effective_chords"":19,""compressed_flow"":3,""dominance_embedding"":2,""geometric_completion"":20}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,one-hole-ring,topology,0,verified,,24,8,1,4,0,0,0,0,,,0,0,,,,,2,0,0,0,4,"{""biclique_partition"":0,""boundary_effective_chords"":12,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":10}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,multiple-separated-holes,topology,0,verified,,65,12,2,8,2,0,2,0,,,0,0,0,2,,,4,2,0,0,5,"{""biclique_partition"":0,""boundary_effective_chords"":19,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":25}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,nested-looking-bridged-rings,topology,0,verified,,82,16,1,8,2,0,2,0,,,0,0,0,2,,,4,2,0,0,6,"{""biclique_partition"":0,""boundary_effective_chords"":27,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":35}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,one-cell-wide-corridor,topology,0,verified,,29,10,0,3,0,0,0,0,,,0,0,,,,,2,0,0,0,4,"{""biclique_partition"":0,""boundary_effective_chords"":15,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":13}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,comb,topology,0,verified,,43,26,0,11,5,0,5,0,,,0,0,0,5,,,7,5,0,0,7,"{""biclique_partition"":0,""boundary_effective_chords"":23,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":13}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,double-comb,topology,0,verified,,74,54,10,45,21,11,32,20,20,231,19,39,39,32,39,20,53,71,10,10,14,"{""biclique_partition"":23,""boundary_effective_chords"":37,""compressed_flow"":6,""dominance_embedding"":5,""geometric_completion"":26}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase,topology,0,verified,,36,18,0,7,0,0,0,0,,,0,0,,,,,2,0,0,0,8,"{""biclique_partition"":0,""boundary_effective_chords"":15,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":27}",
62a221ccec0528adc7f90a1e12b6b4bfab1199d4,rustc 1.89.0 (29483883e 2025-08-04),/Users/kcn/Desktop/algorithm/target/release/rect-cli benchmark --suite adversarial --output results/adversarial.csv,,1784912227,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral,topology,0,verified,,71,24,0,10,0,0,0,0,,,0,0,,,,,2,0,0,0,11,"{""biclique_partition"":0,""boundary_effective_chords"":37,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":52}",
