git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,parameters,component_id,status,message,exact_cover_compared,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,effective_chord_enumerator,effective_chord_enumeration_microseconds,prepared_component_build_count,prepared_component_build_microseconds,boundary_index_build_count,boundary_index_build_microseconds,boundary_index_entries,boundary_index_owned_bytes,linear_boundary_vertex_lookup_count,gap_interval_membership_tests,gap_event_push_count,gap_event_pop_count,boundary_gap_label_backend,clean_endpoint_pair_comparisons,boundary_extraction_microseconds,reflex_grouping_microseconds,occupancy_bytes,horizontal_interior_run_count,vertical_interior_run_count,candidate_reflex_pair_count,emitted_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,c0_network_vertex_count,c0_network_arc_count,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,completion_backend,conflict_representation,path_tree_orientation,path_tree_orientation_policy,dual_region_count,dual_tree_vertex_count,path_count,path_edge_incidence_count,total_path_length_metric,dual_tree_max_depth,dual_tree_max_branching_degree,heavy_chain_count,heavy_chain_interval_count,tree_edge_occurrences,theoretical_path_occurrence_bound,theoretical_tree_edge_occurrence_bound,canonical_segment_node_count,path_tree_sigma,four_d_sigma,selected_chord_cut_materialization_microseconds,horizontal_simple_chord_completion_microseconds,vertical_simple_chord_completion_microseconds,rectangle_recovery_microseconds,final_output_validation_microseconds,initial_horizontal_unit_cut_count,initial_vertical_unit_cut_count,completion_added_horizontal_unit_cuts,completion_added_vertical_unit_cuts,horizontal_simple_chord_count,vertical_simple_chord_count,completion_candidate_queries,completion_full_grid_scans,completion_candidate_revalidations,completion_stale_candidates,completion_ray_extension_unit_steps,rectangle_recovery_component_visits,rectangle_recovery_queue_pushes,rectangle_recovery_region_count,rectangle_recovery_allocations,c0_phase_microseconds,compressed_phase_microseconds,compact_only_phase_microseconds,peak_memory_bytes,owned_allocation_estimates,region_dual_backend,region_dual_construction_microseconds,dual_tree_edge_count,dual_allocated_bytes,dual_unit_cut_count,dual_area_cell_visits,dual_interval_count,dual_maximum_nesting_depth,hld_interval_count,explicit_path_records_materialized,subdivision_builder_backend,subdivision_input_segment_count,subdivision_sweep_event_count,subdivision_candidate_pair_tests,subdivision_reported_intersections,subdivision_atomic_segment_count,validator_backend,validator_x_event_count,validator_y_coordinate_count,validator_range_add_count,validator_parity_toggle_count,validator_segment_tree_node_visits,validator_root_checks,validator_boundary_edge_scans,validator_active_rectangle_resorts,cut_index_logical_tree_node_count,cut_index_materialized_tree_node_count,cut_index_ordered_set_entry_count,polygon_selected_recovery_backend,dense_recovery_retained_byte_estimate,sparse_recovery_retained_upper_estimate
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,endpoint-dense-tabs,endpoint-contact,"{""min_horizontal"":2,""min_vertical"":2}",1,verified,,true,29,20,0,8,4,4,8,reference-pairwise,16,,,,,,,,,,,,,,,,,,,8,12,12,16,7,18,18,8,18,12,22,32,17,26,4,4,5,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,2,2,4,0,0,12,0,0,0,0,144,2,0,0,0,29,29,5,4,"{""biclique_partition"":16,""boundary_effective_chords"":15,""compressed_flow"":8,""dominance_embedding"":11,""final_output_validation"":1,""geometric_completion"":12,""horizontal_simple_chord_completion"":3,""rectangle_recovery"":5,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":23,""boundary_effective_chords"":16,""compressed_flow"":3,""dominance_embedding"":2,""final_output_validation"":0,""geometric_completion"":10,""horizontal_simple_chord_completion"":2,""rectangle_recovery"":4,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":8,""boundary_effective_chords"":16,""boundary_extraction"":13,""component_preparation"":0,""compressed_flow"":3,""dominance_embedding"":2,""effective_chord_enumeration"":1,""final_output_validation"":0,""geometric_completion"":13,""horizontal_simple_chord_completion"":5,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,endpoint-near-identical-minus-one-cell,endpoint-contact,"{""min_horizontal"":2,""min_vertical"":2}",1,verified,,true,28,16,0,6,3,2,5,reference-pairwise,14,,,,,,,,,,,,,,,,,,,5,4,4,6,1,4,4,5,4,4,11,13,8,9,2,2,4,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,2,2,6,1,1,2,0,0,0,0,104,2,0,0,0,28,28,4,4,"{""biclique_partition"":3,""boundary_effective_chords"":11,""compressed_flow"":2,""dominance_embedding"":2,""final_output_validation"":0,""geometric_completion"":14,""horizontal_simple_chord_completion"":3,""rectangle_recovery"":7,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":11,""boundary_effective_chords"":14,""compressed_flow"":1,""dominance_embedding"":1,""final_output_validation"":1,""geometric_completion"":13,""horizontal_simple_chord_completion"":2,""rectangle_recovery"":6,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":5,""boundary_effective_chords"":17,""boundary_extraction"":14,""component_preparation"":0,""compressed_flow"":2,""dominance_embedding"":1,""effective_chord_enumeration"":1,""final_output_validation"":1,""geometric_completion"":9,""horizontal_simple_chord_completion"":3,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,one-hole-ring,topology,"{""holes"":1}",0,verified,,true,24,8,1,4,0,0,0,reference-pairwise,13,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,4,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,4,1,3,0,0,0,4,0,4,0,386,6,0,0,4,24,24,4,4,"{""biclique_partition"":0,""boundary_effective_chords"":15,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":0,""geometric_completion"":13,""horizontal_simple_chord_completion"":6,""rectangle_recovery"":3,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":1,""boundary_effective_chords"":13,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":0,""geometric_completion"":10,""horizontal_simple_chord_completion"":4,""rectangle_recovery"":3,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":1}","{""biclique_partition"":0,""boundary_effective_chords"":12,""boundary_extraction"":11,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":0,""geometric_completion"":15,""horizontal_simple_chord_completion"":11,""rectangle_recovery"":0,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,multiple-separated-holes,topology,"{""holes"":2}",0,verified,,false,65,12,2,8,2,0,2,reference-pairwise,19,,,,,,,,,,,,,,,,,,,2,0,,,0,0,0,2,,,4,2,4,2,0,0,5,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,11,4,14,1,6,0,8,0,4,0,510,6,0,0,8,65,65,5,4,"{""biclique_partition"":0,""boundary_effective_chords"":26,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":1,""geometric_completion"":32,""horizontal_simple_chord_completion"":14,""rectangle_recovery"":12,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}","{""biclique_partition"":1,""boundary_effective_chords"":19,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":1,""geometric_completion"":32,""horizontal_simple_chord_completion"":11,""rectangle_recovery"":14,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}","{""biclique_partition"":0,""boundary_effective_chords"":26,""boundary_extraction"":24,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":1,""effective_chord_enumeration"":0,""final_output_validation"":0,""geometric_completion"":11,""horizontal_simple_chord_completion"":4,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,nested-looking-bridged-rings,topology,{},0,verified,,false,82,16,1,8,2,0,2,reference-pairwise,28,,,,,,,,,,,,,,,,,,,2,0,,,0,0,0,2,,,4,2,4,2,0,0,6,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,14,4,13,1,2,0,8,0,4,0,702,6,0,0,8,82,82,6,4,"{""biclique_partition"":0,""boundary_effective_chords"":32,""compressed_flow"":0,""dominance_embedding"":3,""final_output_validation"":1,""geometric_completion"":37,""horizontal_simple_chord_completion"":15,""rectangle_recovery"":14,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":5}","{""biclique_partition"":0,""boundary_effective_chords"":28,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":1,""geometric_completion"":33,""horizontal_simple_chord_completion"":14,""rectangle_recovery"":13,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}","{""biclique_partition"":0,""boundary_effective_chords"":26,""boundary_extraction"":24,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":1,""geometric_completion"":13,""horizontal_simple_chord_completion"":6,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,one-cell-wide-corridor,topology,"{""corridor_width"":1}",0,verified,,true,29,10,0,3,0,0,0,reference-pairwise,22,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,4,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,7,2,4,0,0,0,3,0,3,0,466,5,0,0,3,29,29,4,4,"{""biclique_partition"":0,""boundary_effective_chords"":17,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":0,""geometric_completion"":15,""horizontal_simple_chord_completion"":7,""rectangle_recovery"":4,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":0,""boundary_effective_chords"":22,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":0,""geometric_completion"":14,""horizontal_simple_chord_completion"":7,""rectangle_recovery"":4,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":0,""boundary_effective_chords"":16,""boundary_extraction"":15,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":1,""geometric_completion"":9,""horizontal_simple_chord_completion"":3,""rectangle_recovery"":0,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":3}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,comb,topology,"{""teeth"":6}",0,verified,,false,43,26,0,11,5,0,5,reference-pairwise,23,,,,,,,,,,,,,,,,,,,5,0,,,0,0,0,5,,,7,5,7,5,0,0,7,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,3,2,6,3,5,0,1,0,1,0,384,3,0,0,1,43,43,7,4,"{""biclique_partition"":0,""boundary_effective_chords"":27,""compressed_flow"":0,""dominance_embedding"":2,""final_output_validation"":1,""geometric_completion"":15,""horizontal_simple_chord_completion"":4,""rectangle_recovery"":7,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":3}","{""biclique_partition"":1,""boundary_effective_chords"":23,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":3,""geometric_completion"":16,""horizontal_simple_chord_completion"":3,""rectangle_recovery"":6,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":0,""boundary_effective_chords"":21,""boundary_extraction"":19,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":1,""geometric_completion"":11,""horizontal_simple_chord_completion"":5,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":3}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,double-comb,topology,"{""teeth_per_side"":6}",0,verified,,false,74,54,10,45,21,11,32,reference-pairwise,43,,,,,,,,,,,,,,,,,,,32,20,20,231,19,39,39,32,39,20,54,72,53,71,10,10,14,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,7,5,12,1,11,33,1,0,1,0,464,3,0,0,1,74,74,14,4,"{""biclique_partition"":12,""boundary_effective_chords"":50,""compressed_flow"":8,""dominance_embedding"":10,""final_output_validation"":1,""geometric_completion"":35,""horizontal_simple_chord_completion"":9,""rectangle_recovery"":15,""selected_chord_cut_materialization"":1,""vertical_simple_chord_completion"":7}","{""biclique_partition"":72,""boundary_effective_chords"":43,""compressed_flow"":7,""dominance_embedding"":4,""final_output_validation"":1,""geometric_completion"":27,""horizontal_simple_chord_completion"":7,""rectangle_recovery"":12,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":5}","{""biclique_partition"":26,""boundary_effective_chords"":30,""boundary_extraction"":24,""component_preparation"":0,""compressed_flow"":5,""dominance_embedding"":1,""effective_chord_enumeration"":1,""final_output_validation"":1,""geometric_completion"":43,""horizontal_simple_chord_completion"":34,""rectangle_recovery"":1,""reflex_grouping"":1,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase,topology,"{""steps"":8}",0,verified,,true,36,18,0,7,0,0,0,reference-pairwise,13,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,8,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,15,2,6,0,0,0,28,0,7,0,674,9,0,0,28,36,36,8,4,"{""biclique_partition"":3,""boundary_effective_chords"":14,""compressed_flow"":1,""dominance_embedding"":3,""final_output_validation"":0,""geometric_completion"":31,""horizontal_simple_chord_completion"":19,""rectangle_recovery"":6,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":3}","{""biclique_partition"":1,""boundary_effective_chords"":13,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":0,""geometric_completion"":25,""horizontal_simple_chord_completion"":15,""rectangle_recovery"":6,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}","{""biclique_partition"":0,""boundary_effective_chords"":12,""boundary_extraction"":10,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":0,""geometric_completion"":17,""horizontal_simple_chord_completion"":9,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":2}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5c387e89ea339a7e4b98a2a91741ac96da348de,rustc 1.89.0 (29483883e 2025-08-04),rect-cli benchmark --suite adversarial --output results/p4-adversarial.csv,,1785159375,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral,topology,"{""size"":11}",0,verified,,false,71,24,0,10,0,0,0,reference-pairwise,42,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,11,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,37,6,11,1,0,0,10,0,10,0,2118,12,0,0,10,71,71,11,4,"{""biclique_partition"":0,""boundary_effective_chords"":52,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":1,""geometric_completion"":63,""horizontal_simple_chord_completion"":41,""rectangle_recovery"":12,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":7}","{""biclique_partition"":0,""boundary_effective_chords"":42,""compressed_flow"":0,""dominance_embedding"":0,""final_output_validation"":1,""geometric_completion"":56,""horizontal_simple_chord_completion"":37,""rectangle_recovery"":11,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":6}","{""biclique_partition"":0,""boundary_effective_chords"":39,""boundary_extraction"":37,""component_preparation"":0,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":1,""geometric_completion"":18,""horizontal_simple_chord_completion"":8,""rectangle_recovery"":2,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":5}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
