K,K_over_M,M,aggregate_median_ratio,aggregate_median_ratio_ci95,algorithm,classification,dominant_phase,dominant_phase_median_ns,dominant_phase_share,elapsed_ns,excluded_target_sizes,explicit_algorithm,family,fit_target_sizes,fixed_process_cost_masked_kernel_difference,geometric_mean_ratio,independent_variable,median_ratio_ci95,ols_slope,ols_slope_ci95,p15_fresh_process_ratio,phase_medians_ns,q,r_squared,ratios,record_type,scope,scope_a_ratio,scope_b_ratio,sizes,stable_crossover_target_size,state,status,target_size,theil_sen_slope,valid_size_levels,warmup_converged,warmup_count
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.6434706512430165,""mad"":41.0,""max"":54709.0,""median"":1459.0,""min"":1291.0,""n"":10000,""q1"":1458.0,""q3"":1500.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":34,""component_count"":1,""compressed_network_arc_count"":7,""compressed_network_node_count"":9,""compressed_size_m"":16,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":81,""height"":9,""horizontal_chord_count_h"":7,""optimum_rectangle_count"":9,""q"":7,""reflex_count"":15,""vertical_chord_count_v"":0,""width"":17}",,complete,,64,,,True,11
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.4050071671786857,""mad"":41.0,""max"":22292.0,""median"":959.0,""min"":833.0,""n"":10000,""q1"":958.0,""q3"":1000.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":34,""component_count"":1,""compressed_network_arc_count"":7,""compressed_network_node_count"":9,""compressed_size_m"":16,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":81,""height"":9,""horizontal_chord_count_h"":7,""optimum_rectangle_count"":9,""q"":7,""reflex_count"":15,""vertical_chord_count_v"":0,""width"":17}",,complete,,64,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.695504622941424,""mad"":1.0,""max"":15250.0,""median"":334.0,""min"":250.0,""n"":10000,""q1"":333.0,""q3"":375.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":34,""component_count"":1,""compressed_network_arc_count"":7,""compressed_network_node_count"":9,""compressed_size_m"":16,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":81,""height"":9,""horizontal_chord_count_h"":7,""optimum_rectangle_count"":9,""q"":7,""reflex_count"":15,""vertical_chord_count_v"":0,""width"":17}",,complete,,64,,,True,6
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.2084916644072042,""mad"":958.0,""max"":366000.0,""median"":58208.0,""min"":55625.0,""n"":6841,""q1"":57417.0,""q3"":59584.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":34,""component_count"":1,""compressed_network_arc_count"":7,""compressed_network_node_count"":9,""compressed_size_m"":16,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":81,""height"":9,""horizontal_chord_count_h"":7,""optimum_rectangle_count"":9,""q"":7,""reflex_count"":15,""vertical_chord_count_v"":0,""width"":17}",,complete,,64,,,True,10
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.36644028378842,""mad"":834.0,""max"":1772250.0,""median"":57500.0,""min"":55000.0,""n"":8224,""q1"":56833.0,""q3"":58875.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":34,""component_count"":1,""compressed_network_arc_count"":7,""compressed_network_node_count"":9,""compressed_size_m"":16,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":81,""height"":9,""horizontal_chord_count_h"":7,""optimum_rectangle_count"":9,""q"":7,""reflex_count"":15,""vertical_chord_count_v"":0,""width"":17}",,complete,,64,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.2013996637565544,""mad"":834.0,""max"":438500.0,""median"":56792.0,""min"":54167.0,""n"":8620,""q1"":56125.0,""q3"":58125.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":34,""component_count"":1,""compressed_network_arc_count"":7,""compressed_network_node_count"":9,""compressed_size_m"":16,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":81,""height"":9,""horizontal_chord_count_h"":7,""optimum_rectangle_count"":9,""q"":7,""reflex_count"":15,""vertical_chord_count_v"":0,""width"":17}",,complete,,64,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.13875629088439742,""mad"":42.0,""max"":16291.0,""median"":1917.0,""min"":1791.0,""n"":10000,""q1"":1875.0,""q3"":2000.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":50,""component_count"":1,""compressed_network_arc_count"":11,""compressed_network_node_count"":13,""compressed_size_m"":24,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":169,""height"":13,""horizontal_chord_count_h"":11,""optimum_rectangle_count"":13,""q"":11,""reflex_count"":23,""vertical_chord_count_v"":0,""width"":25}",,complete,,128,,,True,12
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.3921264740545848,""mad"":42.0,""max"":36417.0,""median"":1250.0,""min"":1083.0,""n"":10000,""q1"":1208.0,""q3"":1291.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":50,""component_count"":1,""compressed_network_arc_count"":11,""compressed_network_node_count"":13,""compressed_size_m"":24,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":169,""height"":13,""horizontal_chord_count_h"":11,""optimum_rectangle_count"":13,""q"":11,""reflex_count"":23,""vertical_chord_count_v"":0,""width"":25}",,complete,,128,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.9418804195177174,""mad"":1.0,""max"":38833.0,""median"":417.0,""min"":333.0,""n"":10000,""q1"":416.0,""q3"":458.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":50,""component_count"":1,""compressed_network_arc_count"":11,""compressed_network_node_count"":13,""compressed_size_m"":24,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":169,""height"":13,""horizontal_chord_count_h"":11,""optimum_rectangle_count"":13,""q"":11,""reflex_count"":23,""vertical_chord_count_v"":0,""width"":25}",,complete,,128,,,True,7
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.07823963014019178,""mad"":1083.0,""max"":394375.0,""median"":116667.0,""min"":112833.0,""n"":3862,""q1"":115750.0,""q3"":117959.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":50,""component_count"":1,""compressed_network_arc_count"":11,""compressed_network_node_count"":13,""compressed_size_m"":24,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":169,""height"":13,""horizontal_chord_count_h"":11,""optimum_rectangle_count"":13,""q"":11,""reflex_count"":23,""vertical_chord_count_v"":0,""width"":25}",,complete,,128,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.07508738527047888,""mad"":1083.0,""max"":450375.0,""median"":116000.0,""min"":112583.0,""n"":4092,""q1"":115084.0,""q3"":117292.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":50,""component_count"":1,""compressed_network_arc_count"":11,""compressed_network_node_count"":13,""compressed_size_m"":24,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":169,""height"":13,""horizontal_chord_count_h"":11,""optimum_rectangle_count"":13,""q"":11,""reflex_count"":23,""vertical_chord_count_v"":0,""width"":25}",,complete,,128,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.09812185980667709,""mad"":1042.0,""max"":603792.0,""median"":115167.0,""min"":111000.0,""n"":4259,""q1"":114250.0,""q3"":116500.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":50,""component_count"":1,""compressed_network_arc_count"":11,""compressed_network_node_count"":13,""compressed_size_m"":24,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":169,""height"":13,""horizontal_chord_count_h"":11,""optimum_rectangle_count"":13,""q"":11,""reflex_count"":23,""vertical_chord_count_v"":0,""width"":25}",,complete,,128,,,True,10
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.2843599026103433,""mad"":42.0,""max"":37250.0,""median"":2250.0,""min"":2083.0,""n"":10000,""q1"":2209.0,""q3"":2333.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":66,""component_count"":1,""compressed_network_arc_count"":15,""compressed_network_node_count"":17,""compressed_size_m"":32,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":289,""height"":17,""horizontal_chord_count_h"":15,""optimum_rectangle_count"":17,""q"":15,""reflex_count"":31,""vertical_chord_count_v"":0,""width"":33}",,complete,,256,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.2803294238870153,""mad"":42.0,""max"":21375.0,""median"":1375.0,""min"":1250.0,""n"":10000,""q1"":1375.0,""q3"":1417.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":66,""component_count"":1,""compressed_network_arc_count"":15,""compressed_network_node_count"":17,""compressed_size_m"":32,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":289,""height"":17,""horizontal_chord_count_h"":15,""optimum_rectangle_count"":17,""q"":15,""reflex_count"":31,""vertical_chord_count_v"":0,""width"":33}",,complete,,256,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.6359885564751058,""mad"":41.0,""max"":23250.0,""median"":458.0,""min"":334.0,""n"":10000,""q1"":417.0,""q3"":459.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":66,""component_count"":1,""compressed_network_arc_count"":15,""compressed_network_node_count"":17,""compressed_size_m"":32,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":289,""height"":17,""horizontal_chord_count_h"":15,""optimum_rectangle_count"":17,""q"":15,""reflex_count"":31,""vertical_chord_count_v"":0,""width"":33}",,complete,,256,,,True,11
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.3343801338009127,""mad"":2500.0,""max"":2615250.0,""median"":206000.0,""min"":195875.0,""n"":2278,""q1"":203833.25,""q3"":209083.75}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":66,""component_count"":1,""compressed_network_arc_count"":15,""compressed_network_node_count"":17,""compressed_size_m"":32,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":289,""height"":17,""horizontal_chord_count_h"":15,""optimum_rectangle_count"":17,""q"":15,""reflex_count"":31,""vertical_chord_count_v"":0,""width"":33}",,complete,,256,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.2945913195646536,""mad"":2459.0,""max"":2416834.0,""median"":204666.0,""min"":195959.0,""n"":2413,""q1"":202542.0,""q3"":207750.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":66,""component_count"":1,""compressed_network_arc_count"":15,""compressed_network_node_count"":17,""compressed_size_m"":32,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":289,""height"":17,""horizontal_chord_count_h"":15,""optimum_rectangle_count"":17,""q"":15,""reflex_count"":31,""vertical_chord_count_v"":0,""width"":33}",,complete,,256,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.2359231998168833,""mad"":2458.0,""max"":1377459.0,""median"":203625.0,""min"":193292.0,""n"":2351,""q1"":201541.0,""q3"":206625.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":66,""component_count"":1,""compressed_network_arc_count"":15,""compressed_network_node_count"":17,""compressed_size_m"":32,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":289,""height"":17,""horizontal_chord_count_h"":15,""optimum_rectangle_count"":17,""q"":15,""reflex_count"":31,""vertical_chord_count_v"":0,""width"":33}",,complete,,256,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.163557724845817,""mad"":41.0,""max"":6041.0,""median"":375.0,""min"":333.0,""n"":10000,""q1"":375.0,""q3"":417.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,9
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.11686671011462113,""mad"":1.0,""max"":2666.0,""median"":333.0,""min"":250.0,""n"":10000,""q1"":333.0,""q3"":334.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,19
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.10681916841132669,""mad"":0.0,""max"":500.0,""median"":125.0,""min"":83.0,""n"":10000,""q1"":125.0,""q3"":125.0}",,,comb-staircase,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.039471630285217725,""mad"":1791.0,""max"":176125.0,""median"":114208.0,""min"":107084.0,""n"":3952,""q1"":112542.0,""q3"":116167.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.04310739985296765,""mad"":1791.0,""max"":175166.0,""median"":114084.0,""min"":106916.0,""n"":4228,""q1"":112500.0,""q3"":116083.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.04147941795086274,""mad"":1667.0,""max"":197916.0,""median"":113875.0,""min"":107000.0,""n"":4421,""q1"":112292.0,""q3"":115708.0}",,,comb-staircase,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":48,""component_count"":1,""compressed_network_arc_count"":0,""compressed_network_node_count"":2,""compressed_size_m"":2,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":276,""height"":23,""horizontal_chord_count_h"":0,""optimum_rectangle_count"":23,""q"":0,""reflex_count"":22,""vertical_chord_count_v"":0,""width"":23}",,complete,,512,,,True,5
