schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:0,0,True,False,0,60.0,success,success,0,valid,,,427813084,427614209,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,92167,43334,36791,,35375,,,9333,167,83,40125,9791,20209,198875,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,True,False,1,60.0,success,success,0,valid,,,42244375,42046125,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,13125,13917,5709,32375,2916,68750,23209,29084,166,250,9625,1875,4417,198250,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,True,False,2,60.0,success,success,0,valid,,,40658334,40586667,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,11208,13625,5750,2750,,20417,3250,4917,458,167,9458,1875,4125,71667,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:0,0,True,False,3,60.0,success,success,0,valid,,,41108125,41024583,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,10958,,,,,,,81583,,,,,709,83542,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:1,1,True,False,0,60.0,success,success,0,valid,,,40476333,40425792,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,11125,17333,6792,,3625,,,1458,291,83,9500,1917,4457,50541,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:1,1,True,False,1,60.0,success,success,0,valid,,,41119750,41041167,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,10708,19125,9958,2833,3000,11625,3000,7625,292,167,9625,1834,4208,78583,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:1,1,True,False,2,60.0,success,success,0,valid,,,40687875,40619125,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,12042,14125,7125,2750,,13084,3166,6375,458,125,10125,1791,4167,68750,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:1,1,True,False,3,60.0,success,success,0,valid,,,41149542,41112209,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,12792,,,,,,,35083,,,,,834,37333,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:2,2,True,False,0,60.0,success,success,0,valid,,,41410917,41360959,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,12792,19292,5083,,3625,,,1292,291,125,9667,2041,4209,49958,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:2,2,True,False,1,60.0,success,success,0,valid,,,41381583,41298750,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,82833,19750,5750,2959,3208,12083,2709,6459,667,125,11292,2042,4791,82833,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:2,2,True,False,2,60.0,success,success,0,valid,,,40328333,40259125,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,12292,16750,6375,3083,,12250,3083,4916,375,167,9708,1792,4458,69208,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:2,2,True,False,3,60.0,success,success,0,valid,,,40809959,40777667,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,11417,,,,,,,29750,,,,,2208,32292,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:0,0,False,True,0,60.0,success,success,0,valid,,,41241792,41197083,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,10500,12542,5916,,3792,,,1458,542,166,9959,1750,4333,44709,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,False,True,1,60.0,success,success,0,valid,,,40715250,40646000,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,11542,17917,5250,3000,2708,11625,2583,4833,250,83,9583,1917,4291,69250,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,False,True,2,60.0,success,success,0,valid,,,40803500,40730042,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,13208,16917,7417,5416,,12417,3083,6792,417,166,9625,1834,4166,73458,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:0,0,False,True,3,60.0,success,success,0,valid,,,41089500,41056583,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,11708,,,,,,,30625,,,,,791,32917,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:1,1,False,True,0,60.0,success,success,0,valid,,,40280000,40235458,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,12542,12458,5583,,3500,,,2416,250,125,9708,1667,4459,44542,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:1,1,False,True,1,60.0,success,success,0,valid,,,41049292,40979583,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,10958,15041,5292,2750,2958,12000,2667,6375,334,84,10333,1917,4292,69709,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:1,1,False,True,2,60.0,success,success,0,valid,,,40674208,40606833,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,10917,14666,6042,2958,,11917,3125,5209,2167,83,9833,1917,4417,67375,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:1,1,False,True,3,60.0,success,success,0,valid,,,40528292,40498792,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,11375,,,,,,,27458,,,,,1375,29500,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:2,2,False,True,0,60.0,success,success,0,valid,,,41226250,41178625,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,10875,15167,6458,,3583,,,1417,375,209,9458,2167,4250,47625,,,,,14,5,,,4,4,1,4,7,8,
