algorithm,alpha_ols,alpha_ols_ci95,alpha_theil_sen,bootstrap_ci95,bootstrap_resamples,bootstrap_seed,censored_target_sizes,claim_status,comparison,distribution_ns,excluded_sizes,failure_count,family,fit_independent_range,fit_target_size_range,geometric_mean_ratio,independent_variable,independent_variable_definition,invalid_count,median_ratio,median_ratio_by_target_size,observed_count,paired_count,planned_count,r_squared,ratio_distribution,record_type,residuals_log_time,sample_count,size_level_count,size_levels,stable_crossover_target_size,success_count,timeout_count,unsupported_count
compact-mrd,,,,,,,,,,"{""count"":184,""mad"":450104.5,""max"":49794541,""median"":41324770.5,""min"":40256334,""q1"":40947291.25,""q3"":41916562.75}",,0,random-connected,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":31,""mad"":346625,""max"":43787166,""median"":41086792,""min"":40431000,""q1"":40753458,""q3"":41487562},""q"":4.0,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":31,""mad"":241667,""max"":41882708,""median"":40966833,""min"":40256334,""q1"":40853499.5,""q3"":41463417},""q"":3.0,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":31,""mad"":369625,""max"":42788542,""median"":41180250,""min"":40373916,""q1"":40814750,""q3"":41692000},""q"":4.0,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":30.0,""N"":27.0,""process_wall_time_ns"":{""count"":31,""mad"":404001,""max"":49794541,""median"":41385917,""min"":40653167,""q1"":41004687.5,""q3"":41925125},""q"":7.0,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":38.0,""N"":40.0,""process_wall_time_ns"":{""count"":15,""mad"":171709,""max"":41772542,""median"":41127000,""min"":40415917,""q1"":41010104,""q3"":41541666.5},""q"":8.0,""target_size"":40.0},{""B"":28.0,""K"":3.0,""M"":21.0,""N"":60.0,""process_wall_time_ns"":{""count"":15,""mad"":755958,""max"":47410250,""median"":41900417,""min"":40987541,""q1"":41248729,""q3"":42822395.5},""q"":6.0,""target_size"":60.0},{""B"":42.0,""K"":20.0,""M"":66.0,""N"":90.0,""process_wall_time_ns"":{""count"":15,""mad"":2416083,""max"":48006625,""median"":44230292,""min"":41345000,""q1"":42040354.5,""q3"":46532687.5},""q"":12.0,""target_size"":90.0},{""B"":48.0,""K"":13.0,""M"":65.0,""N"":135.0,""process_wall_time_ns"":{""count"":15,""mad"":1259916,""max"":49022042,""median"":44660709,""min"":40860667,""q1"":43443687.5,""q3"":45777750},""q"":14.0,""target_size"":135.0}]",,184,0,0
explicit-hopcroft-karp,,,,,,,,,,"{""count"":184,""mad"":466729,""max"":56839417,""median"":41223916.5,""min"":39644375,""q1"":40820250,""q3"":41863499.5}",,0,random-connected,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":31,""mad"":358124,""max"":42445458,""median"":40863459,""min"":40176333,""q1"":40624312.5,""q3"":41223916.5},""q"":4.0,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":31,""mad"":263001,""max"":41869375,""median"":40941666,""min"":40217500,""q1"":40717875,""q3"":41233208.5},""q"":3.0,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":31,""mad"":306916,""max"":42505917,""median"":41117792,""min"":40267584,""q1"":40826979.5,""q3"":41429354},""q"":4.0,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":30.0,""N"":27.0,""process_wall_time_ns"":{""count"":31,""mad"":539292,""max"":56839417,""median"":41131000,""min"":40369042,""q1"":40881708.5,""q3"":42015896.5},""q"":7.0,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":38.0,""N"":40.0,""process_wall_time_ns"":{""count"":15,""mad"":328959,""max"":42507000,""median"":41368750,""min"":40607916,""q1"":41186875,""q3"":41736334},""q"":8.0,""target_size"":40.0},{""B"":28.0,""K"":3.0,""M"":21.0,""N"":60.0,""process_wall_time_ns"":{""count"":15,""mad"":366250,""max"":54321750,""median"":41623209,""min"":40470375,""q1"":41288458.5,""q3"":41946500},""q"":6.0,""target_size"":60.0},{""B"":42.0,""K"":20.0,""M"":66.0,""N"":90.0,""process_wall_time_ns"":{""count"":15,""mad"":1795666,""max"":48365292,""median"":46072250,""min"":40722375,""q1"":42266750,""q3"":47165229},""q"":12.0,""target_size"":90.0},{""B"":48.0,""K"":13.0,""M"":65.0,""N"":135.0,""process_wall_time_ns"":{""count"":15,""mad"":2062501,""max"":50752208,""median"":44423916,""min"":39644375,""q1"":42437312.5,""q3"":46085937.5},""q"":14.0,""target_size"":135.0}]",,184,0,0
explicit-c0-flow,,,,,,,,,,"{""count"":184,""mad"":411479.5,""max"":54566208,""median"":41320499.5,""min"":40025625,""q1"":40937323,""q3"":41762448}",,0,random-connected,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":14.0,""K"":4.0,""M"":22.0,""N"":8.0,""process_wall_time_ns"":{""count"":31,""mad"":269124,""max"":42509417,""median"":41049292,""min"":40367750,""q1"":40770646,""q3"":41212166.5},""q"":4.0,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":31,""mad"":266958,""max"":41689333,""median"":41025542,""min"":40141375,""q1"":40782583.5,""q3"":41288666.5},""q"":3.0,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":31,""mad"":314126,""max"":42061625,""median"":41092417,""min"":40025625,""q1"":40725145.5,""q3"":41367437.5},""q"":4.0,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":37.0,""N"":27.0,""process_wall_time_ns"":{""count"":31,""mad"":366917,""max"":46078667,""median"":41451000,""min"":40215500,""q1"":41116291.5,""q3"":41845542},""q"":7.0,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":45.0,""N"":40.0,""process_wall_time_ns"":{""count"":15,""mad"":232750,""max"":44200750,""median"":41620000,""min"":40710208,""q1"":41255646,""q3"":41833958.5},""q"":8.0,""target_size"":40.0},{""B"":28.0,""K"":3.0,""M"":23.0,""N"":60.0,""process_wall_time_ns"":{""count"":15,""mad"":306625,""max"":49808584,""median"":41496875,""min"":40769792,""q1"":41395104.5,""q3"":43080333.5},""q"":6.0,""target_size"":60.0},{""B"":42.0,""K"":20.0,""M"":86.0,""N"":90.0,""process_wall_time_ns"":{""count"":15,""mad"":1254291,""max"":54566208,""median"":45514750,""min"":40900125,""q1"":42579979.5,""q3"":46420395.5},""q"":12.0,""target_size"":90.0},{""B"":48.0,""K"":13.0,""M"":69.0,""N"":135.0,""process_wall_time_ns"":{""count"":15,""mad"":1536709,""max"":47447542,""median"":44913041,""min"":40319333,""q1"":43355708,""q3"":46287917},""q"":14.0,""target_size"":135.0}]",,184,0,0
exact-cover-oracle,,,,,,,,,,"{""count"":139,""mad"":478167,""max"":68429375,""median"":41233292,""min"":40026583,""q1"":40833042,""q3"":41932812.5}",,0,random-connected,,,,,,0,,,184,,184,,,distribution,,139,,"[{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":31,""mad"":435958,""max"":42995375,""median"":40964250,""min"":40026583,""q1"":40522604.5,""q3"":41356416.5},""q"":null,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":31,""mad"":232416,""max"":68429375,""median"":40873042,""min"":40138959,""q1"":40767937.5,""q3"":41172937.5},""q"":null,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":31,""mad"":349251,""max"":42197500,""median"":41184959,""min"":40563791,""q1"":40836666.5,""q3"":41478604},""q"":null,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":30.0,""N"":27.0,""process_wall_time_ns"":{""count"":31,""mad"":364749,""max"":67766000,""median"":41527333,""min"":40721583,""q1"":41247000,""q3"":42229208.5},""q"":null,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":38.0,""N"":40.0,""process_wall_time_ns"":{""count"":15,""mad"":434083,""max"":45582833,""median"":43225792,""min"":42675542,""q1"":42903688,""q3"":43673312.5},""q"":null,""target_size"":40.0}]",,139,0,45
compact-mrd,,,,,,,,,,"{""count"":184,""mad"":1786833,""max"":57066334,""median"":44790770.5,""min"":38804042,""q1"":43512218.75,""q3"":47489114.5}",,0,dense-conflict,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":68.0,""K"":96.0,""M"":174.0,""N"":137.0,""process_wall_time_ns"":{""count"":31,""mad"":3379417,""max"":51815209,""median"":46014458,""min"":40525917,""q1"":42823250,""q3"":49200000},""q"":32.0,""target_size"":8.0},{""B"":100.0,""K"":192.0,""M"":289.0,""N"":249.0,""process_wall_time_ns"":{""count"":31,""mad"":1045001,""max"":45834666,""median"":43410333,""min"":38804042,""q1"":41627521,""q3"":43954895.5},""q"":48.0,""target_size"":12.0},{""B"":148.0,""K"":396.0,""M"":425.0,""N"":477.0,""process_wall_time_ns"":{""count"":31,""mad"":931333,""max"":50594917,""median"":44389833,""min"":39482750,""q1"":43387708.5,""q3"":45313395.5},""q"":72.0,""target_size"":18.0},{""B"":228.0,""K"":896.0,""M"":701.0,""N"":1017.0,""process_wall_time_ns"":{""count"":31,""mad"":547083,""max"":47016708,""median"":44632875,""min"":40357958,""q1"":43720688,""q3"":45100291.5},""q"":112.0,""target_size"":27.0},{""B"":324.0,""K"":1760.0,""M"":982.0,""N"":1929.0,""process_wall_time_ns"":{""count"":15,""mad"":363416,""max"":47708375,""median"":44151041,""min"":41560625,""q1"":43836541.5,""q3"":44921146},""q"":160.0,""target_size"":40.0},{""B"":484.0,""K"":3840.0,""M"":1466.0,""N"":4089.0,""process_wall_time_ns"":{""count"":15,""mad"":2285250,""max"":50997333,""median"":47128167,""min"":42815167,""q1"":44793417,""q3"":48158604.5},""q"":240.0,""target_size"":60.0},{""B"":724.0,""K"":8460.0,""M"":2230.0,""N"":8829.0,""process_wall_time_ns"":{""count"":15,""mad"":1270208,""max"":51176459,""median"":48045875,""min"":45079542,""q1"":46850792,""q3"":49236604},""q"":360.0,""target_size"":90.0},{""B"":1092.0,""K"":19040.0,""M"":3411.0,""N"":19593.0,""process_wall_time_ns"":{""count"":15,""mad"":1148042,""max"":57066334,""median"":53670292,""min"":50377291,""q1"":52301333.5,""q3"":54382750},""q"":544.0,""target_size"":135.0}]",,184,0,0
explicit-hopcroft-karp,,,,,,,,,,"{""count"":184,""mad"":1785042,""max"":69138750,""median"":44270375,""min"":38266583,""q1"":42923770.5,""q3"":47006281}",,0,dense-conflict,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":68.0,""K"":96.0,""M"":174.0,""N"":137.0,""process_wall_time_ns"":{""count"":31,""mad"":3576167,""max"":69138750,""median"":46437708,""min"":41009459,""q1"":42654395.5,""q3"":49316166.5},""q"":32.0,""target_size"":8.0},{""B"":100.0,""K"":192.0,""M"":289.0,""N"":249.0,""process_wall_time_ns"":{""count"":31,""mad"":1118166,""max"":46989583,""median"":42746750,""min"":38266583,""q1"":41626313,""q3"":43677625},""q"":48.0,""target_size"":12.0},{""B"":148.0,""K"":396.0,""M"":425.0,""N"":477.0,""process_wall_time_ns"":{""count"":31,""mad"":1024000,""max"":48847500,""median"":43645042,""min"":40937542,""q1"":42673145.5,""q3"":44540166.5},""q"":72.0,""target_size"":18.0},{""B"":228.0,""K"":896.0,""M"":701.0,""N"":1017.0,""process_wall_time_ns"":{""count"":31,""mad"":1055584,""max"":47594583,""median"":44104917,""min"":39525750,""q1"":43265541.5,""q3"":45273521},""q"":112.0,""target_size"":27.0},{""B"":324.0,""K"":1760.0,""M"":982.0,""N"":1929.0,""process_wall_time_ns"":{""count"":15,""mad"":1410417,""max"":62022916,""median"":45304667,""min"":39701167,""q1"":43524395.5,""q3"":46195937.5},""q"":160.0,""target_size"":40.0},{""B"":484.0,""K"":3840.0,""M"":1466.0,""N"":4089.0,""process_wall_time_ns"":{""count"":15,""mad"":745582,""max"":51798459,""median"":44532709,""min"":40517291,""q1"":44109041.5,""q3"":46478396.5},""q"":240.0,""target_size"":60.0},{""B"":724.0,""K"":8460.0,""M"":2230.0,""N"":8829.0,""process_wall_time_ns"":{""count"":15,""mad"":1164583,""max"":53922125,""median"":47056375,""min"":42785416,""q1"":45700041.5,""q3"":48131395.5},""q"":360.0,""target_size"":90.0},{""B"":1092.0,""K"":19040.0,""M"":3411.0,""N"":19593.0,""process_wall_time_ns"":{""count"":15,""mad"":1791542,""max"":56625209,""median"":52749250,""min"":50116917,""q1"":51614499.5,""q3"":54550250},""q"":544.0,""target_size"":135.0}]",,184,0,0
explicit-c0-flow,,,,,,,,,,"{""count"":184,""mad"":2777333.5,""max"":65643542,""median"":45439458.5,""min"":39372792,""q1"":43124978.75,""q3"":49131166.25}",,0,dense-conflict,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":68.0,""K"":96.0,""M"":354.0,""N"":137.0,""process_wall_time_ns"":{""count"":31,""mad"":2655042,""max"":52985750,""median"":46558083,""min"":39372792,""q1"":42560666.5,""q3"":48964479},""q"":32.0,""target_size"":8.0},{""B"":100.0,""K"":192.0,""M"":674.0,""N"":249.0,""process_wall_time_ns"":{""count"":31,""mad"":945957,""max"":46313958,""median"":43147041,""min"":39929584,""q1"":42211354.5,""q3"":44102125},""q"":48.0,""target_size"":12.0},{""B"":148.0,""K"":396.0,""M"":1334.0,""N"":477.0,""process_wall_time_ns"":{""count"":31,""mad"":1297499,""max"":51455625,""median"":43928583,""min"":41692917,""q1"":42717042,""q3"":45039583},""q"":72.0,""target_size"":18.0},{""B"":228.0,""K"":896.0,""M"":2914.0,""N"":1017.0,""process_wall_time_ns"":{""count"":31,""mad"":1538166,""max"":48816500,""median"":44770125,""min"":41175500,""q1"":43505437,""q3"":46270604},""q"":112.0,""target_size"":27.0},{""B"":324.0,""K"":1760.0,""M"":5602.0,""N"":1929.0,""process_wall_time_ns"":{""count"":15,""mad"":1360875,""max"":49083500,""median"":45547792,""min"":41561875,""q1"":43468854,""q3"":46312333.5},""q"":160.0,""target_size"":40.0},{""B"":484.0,""K"":3840.0,""M"":12002.0,""N"":4089.0,""process_wall_time_ns"":{""count"":15,""mad"":2063333,""max"":54544917,""median"":49262834,""min"":44228875,""q1"":47349208,""q3"":50905958.5},""q"":240.0,""target_size"":60.0},{""B"":724.0,""K"":8460.0,""M"":26102.0,""N"":8829.0,""process_wall_time_ns"":{""count"":15,""mad"":1379834,""max"":56498291,""median"":51473167,""min"":49787500,""q1"":50379416.5,""q3"":53699958.5},""q"":360.0,""target_size"":90.0},{""B"":1092.0,""K"":19040.0,""M"":58210.0,""N"":19593.0,""process_wall_time_ns"":{""count"":15,""mad"":1449834,""max"":65643542,""median"":62871125,""min"":58730709,""q1"":60910750.5,""q3"":64115896},""q"":544.0,""target_size"":135.0}]",,184,0,0
exact-cover-oracle,,,,,,,,,,,,0,dense-conflict,,,,,,0,,,184,,184,,,distribution,,0,,[],,0,0,184
compact-mrd,,,,,,,,,,"{""count"":184,""mad"":1415896,""max"":71365958,""median"":43278854,""min"":38778416,""q1"":41878916.25,""q3"":44741583.25}",,0,sparse-conflict,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":36.0,""K"":null,""M"":14.0,""N"":69.0,""process_wall_time_ns"":{""count"":31,""mad"":1120292,""max"":48877750,""median"":43712250,""min"":40002833,""q1"":42721375,""q3"":44899916.5},""q"":6.0,""target_size"":8.0},{""B"":52.0,""K"":null,""M"":22.0,""N"":101.0,""process_wall_time_ns"":{""count"":31,""mad"":933709,""max"":47765250,""median"":43612500,""min"":40925792,""q1"":42882250.5,""q3"":44853416.5},""q"":10.0,""target_size"":12.0},{""B"":76.0,""K"":null,""M"":34.0,""N"":149.0,""process_wall_time_ns"":{""count"":31,""mad"":991292,""max"":46829875,""median"":44286167,""min"":40946125,""q1"":43352229,""q3"":45395562.5},""q"":16.0,""target_size"":18.0},{""B"":112.0,""K"":null,""M"":52.0,""N"":221.0,""process_wall_time_ns"":{""count"":31,""mad"":1920917,""max"":50085250,""median"":43537250,""min"":39891875,""q1"":41922896,""q3"":45675792},""q"":25.0,""target_size"":27.0},{""B"":164.0,""K"":null,""M"":78.0,""N"":325.0,""process_wall_time_ns"":{""count"":15,""mad"":866126,""max"":71365958,""median"":42640334,""min"":40300375,""q1"":41457937.5,""q3"":43022833.5},""q"":38.0,""target_size"":40.0},{""B"":244.0,""K"":null,""M"":118.0,""N"":485.0,""process_wall_time_ns"":{""count"":15,""mad"":1607583,""max"":44094709,""median"":41308375,""min"":38778416,""q1"":39955604,""q3"":43034500},""q"":58.0,""target_size"":60.0},{""B"":364.0,""K"":null,""M"":178.0,""N"":725.0,""process_wall_time_ns"":{""count"":15,""mad"":300167,""max"":50225833,""median"":41508584,""min"":40465125,""q1"":41196708.5,""q3"":41639958},""q"":88.0,""target_size"":90.0},{""B"":544.0,""K"":null,""M"":268.0,""N"":1085.0,""process_wall_time_ns"":{""count"":15,""mad"":731958,""max"":45499750,""median"":42423833,""min"":40882833,""q1"":42028875,""q3"":43330729},""q"":133.0,""target_size"":135.0}]",,184,0,0
explicit-hopcroft-karp,,,,,,,,,,"{""count"":184,""mad"":1567230,""max"":77222084,""median"":43258749.5,""min"":38566375,""q1"":41531312.75,""q3"":44635364.75}",,0,sparse-conflict,,,,,,0,,,184,,184,,,distribution,,184,,"[{""B"":36.0,""K"":null,""M"":14.0,""N"":69.0,""process_wall_time_ns"":{""count"":31,""mad"":883125,""max"":47664041,""median"":43658542,""min"":40178333,""q1"":42858875,""q3"":44642604},""q"":6.0,""target_size"":8.0},{""B"":52.0,""K"":null,""M"":22.0,""N"":101.0,""process_wall_time_ns"":{""count"":31,""mad"":1052333,""max"":73776625,""median"":44076583,""min"":39581625,""q1"":43582917,""q3"":45715125},""q"":10.0,""target_size"":12.0},{""B"":76.0,""K"":null,""M"":34.0,""N"":149.0,""process_wall_time_ns"":{""count"":31,""mad"":1257250,""max"":58766000,""median"":44230292,""min"":38566375,""q1"":42610208.5,""q3"":45035312.5},""q"":16.0,""target_size"":18.0},{""B"":112.0,""K"":null,""M"":52.0,""N"":221.0,""process_wall_time_ns"":{""count"":31,""mad"":1566541,""max"":77222084,""median"":42216333,""min"":39678792,""q1"":40943250.5,""q3"":44431458.5},""q"":25.0,""target_size"":27.0},{""B"":164.0,""K"":null,""M"":78.0,""N"":325.0,""process_wall_time_ns"":{""count"":15,""mad"":1427209,""max"":59442834,""median"":42537916,""min"":40614834,""q1"":41521229.5,""q3"":44058458},""q"":38.0,""target_size"":40.0},{""B"":244.0,""K"":null,""M"":118.0,""N"":485.0,""process_wall_time_ns"":{""count"":15,""mad"":1234376,""max"":49092792,""median"":41472084,""min"":39705625,""q1"":40279937.5,""q3"":43556500},""q"":58.0,""target_size"":60.0},{""B"":364.0,""K"":null,""M"":178.0,""N"":725.0,""process_wall_time_ns"":{""count"":15,""mad"":377958,""max"":47146709,""median"":41372833,""min"":40232750,""q1"":41036729,""q3"":41780937},""q"":88.0,""target_size"":90.0},{""B"":544.0,""K"":null,""M"":268.0,""N"":1085.0,""process_wall_time_ns"":{""count"":15,""mad"":808291,""max"":44932334,""median"":41534667,""min"":40088667,""q1"":41381021,""q3"":42806458},""q"":133.0,""target_size"":135.0}]",,184,0,0
