schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling-pilot,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:0,0,True,False,0,60.0,success,success,0,valid,,,458698375,458404834,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,109042,83708,56250,,38458,,,9792,208,167,56375,10000,33458,293541,,,,,,,,,,,,,,,
1,paper-scaling-pilot,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,True,False,1,60.0,success,success,0,valid,,,41945917,41753083,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,12875,13625,5583,30583,3458,66542,18875,30083,208,42,10917,2041,4917,192834,,,,,,,,,,,,,,,
1,paper-scaling-pilot,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,True,False,2,60.0,success,success,0,valid,,,40773791,40693708,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,10334,16292,5541,2750,,21542,3167,5209,416,209,9750,2042,7458,80083,,,,,,,,,,,,,,,
1,paper-scaling-pilot,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:0,0,True,False,3,60.0,success,success,0,valid,,,40459542,40380542,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,10291,,,,,,,76833,,,,,709,79000,,,,,,,,,,,,,,,
1,paper-scaling-pilot,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:0,0,False,True,0,60.0,success,success,0,valid,,,40534708,40490333,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,10333,12417,5250,,3209,,,1417,583,167,10000,2167,4416,44375,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling-pilot,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,False,True,1,60.0,success,success,0,valid,,,40303125,40237500,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,10333,12833,5875,2709,2792,12792,2375,5167,416,84,9583,2000,4251,65625,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling-pilot,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:0,0,False,True,2,60.0,success,success,0,valid,,,40076833,40010666,6,6,8,1,14,5,2,2,4,,1,4,7,8,4,0,0,0,2,2,,,0,12459,17250,5042,2542,,11958,2792,4791,459,83,9333,2792,4042,66167,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling-pilot,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,8,1,random-connected:424242:8:0,0,False,True,3,60.0,success,success,0,valid,,,40876417,40836958,6,6,8,1,14,5,0,0,0,,0,0,,,4,,,,,,,,0,15167,,,,,,,35708,,,,,3500,39459,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling-pilot,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,8,1,random-connected:424242:8:1,1,False,True,0,60.0,success,success,0,valid,,,40611542,40566875,6,6,8,1,14,5,2,2,4,4,0,0,,,4,,,,2,2,,,0,11208,12542,5208,,3583,,,1334,750,209,9708,1833,4542,44667,,,,,14,5,,,4,4,1,4,7,8,
1,paper-scaling-pilot,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,8,1,random-connected:424242:8:1,1,False,True,1,60.0,success,success,0,valid,,,40712833,40647125,6,6,8,1,14,5,2,2,4,4,4,8,10,12,4,0,0,0,2,2,10,12,0,12708,12500,5625,2750,2875,12000,2250,5209,250,125,9250,3083,4250,65708,,,,,14,5,,,4,4,1,4,7,8,
