algorithm,alpha_ols,alpha_ols_ci95,alpha_theil_sen,bootstrap_ci95,bootstrap_resamples,bootstrap_seed,censored_target_sizes,claim_status,comparison,distribution_ns,excluded_sizes,failure_count,family,fit_independent_range,fit_target_size_range,geometric_mean_ratio,independent_variable,independent_variable_definition,invalid_count,median_ratio,median_ratio_by_target_size,observed_count,paired_count,planned_count,r_squared,ratio_distribution,record_type,residuals_log_time,sample_count,size_level_count,size_levels,stable_crossover_target_size,success_count,timeout_count,unsupported_count
compact-mrd,,,,,,,,,,"{""count"":30,""mad"":351979,""max"":41347500,""median"":40431874.5,""min"":39482584,""q1"":39995207.75,""q3"":40693697.5}",,0,random-connected,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":5,""mad"":313917,""max"":40722167,""median"":40291750,""min"":39977833,""q1"":40076833,""q3"":40630500},""q"":4.0,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":5,""mad"":517708,""max"":41347500,""median"":40309500,""min"":39770083,""q1"":39791792,""q3"":40704208},""q"":3.0,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":5,""mad"":71125,""max"":41055292,""median"":40011833,""min"":39482584,""q1"":39951041,""q3"":40082958},""q"":4.0,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":30.0,""N"":27.0,""process_wall_time_ns"":{""count"":5,""mad"":141124,""max"":40847875,""median"":40662166,""min"":40314125,""q1"":40521042,""q3"":40774125},""q"":7.0,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":38.0,""N"":40.0,""process_wall_time_ns"":{""count"":5,""mad"":475000,""max"":40998583,""median"":40464666,""min"":39841375,""q1"":39989666,""q3"":40519125},""q"":8.0,""target_size"":40.0},{""B"":28.0,""K"":3.0,""M"":21.0,""N"":60.0,""process_wall_time_ns"":{""count"":5,""mad"":109958,""max"":41029917,""median"":40509041,""min"":39985792,""q1"":40399083,""q3"":40542542},""q"":6.0,""target_size"":60.0}]",,30,0,0
explicit-hopcroft-karp,,,,,,,,,,"{""count"":30,""mad"":182562.5,""max"":41780833,""median"":40410375.5,""min"":39573916,""q1"":40107166.75,""q3"":40558249.75}",,0,random-connected,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":5,""mad"":108751,""max"":40611542,""median"":40502791,""min"":39573916,""q1"":40361375,""q3"":40534708},""q"":4.0,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":5,""mad"":550458,""max"":40932417,""median"":40381959,""min"":39674208,""q1"":39751875,""q3"":40553500},""q"":3.0,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":5,""mad"":139667,""max"":40697083,""median"":40450875,""min"":39990459,""q1"":40311208,""q3"":40518750},""q"":4.0,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":30.0,""N"":27.0,""process_wall_time_ns"":{""count"":5,""mad"":66625,""max"":40585667,""median"":40519042,""min"":39801541,""q1"":40220542,""q3"":40559833},""q"":7.0,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":38.0,""N"":40.0,""process_wall_time_ns"":{""count"":5,""mad"":286666,""max"":41780833,""median"":40725458,""min"":40307792,""q1"":40438792,""q3"":40842958},""q"":8.0,""target_size"":40.0},{""B"":28.0,""K"":3.0,""M"":21.0,""N"":60.0,""process_wall_time_ns"":{""count"":5,""mad"":109500,""max"":40306750,""median"":40069375,""min"":39959875,""q1"":40052208,""q3"":40279042},""q"":6.0,""target_size"":60.0}]",,30,0,0
explicit-c0-flow,,,,,,,,,,"{""count"":30,""mad"":183958.5,""max"":41370333,""median"":40473250,""min"":39529875,""q1"":40284479,""q3"":40642239.75}",,0,random-connected,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":14.0,""K"":4.0,""M"":22.0,""N"":8.0,""process_wall_time_ns"":{""count"":5,""mad"":351499,""max"":41201958,""median"":40361334,""min"":39907125,""q1"":40303125,""q3"":40712833},""q"":4.0,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":5,""mad"":249166,""max"":40646542,""median"":40302041,""min"":39529875,""q1"":40052875,""q3"":40366250},""q"":3.0,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":5,""mad"":262875,""max"":40629333,""median"":40204208,""min"":39941333,""q1"":40074542,""q3"":40504292},""q"":4.0,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":37.0,""N"":27.0,""process_wall_time_ns"":{""count"":5,""mad"":106333,""max"":40764542,""median"":40519500,""min"":40278625,""q1"":40413167,""q3"":40550083},""q"":7.0,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":45.0,""N"":40.0,""process_wall_time_ns"":{""count"":5,""mad"":113000,""max"":41370333,""median"":40615500,""min"":40502500,""q1"":40589500,""q3"":40965083},""q"":8.0,""target_size"":40.0},{""B"":28.0,""K"":3.0,""M"":23.0,""N"":60.0,""process_wall_time_ns"":{""count"":5,""mad"":220542,""max"":40813625,""median"":40444000,""min"":40223458,""q1"":40311667,""q3"":40742459},""q"":6.0,""target_size"":60.0}]",,30,0,0
exact-cover-oracle,,,,,,,,,,"{""count"":25,""mad"":328124,""max"":42851792,""median"":40623833,""min"":39516833,""q1"":40339791,""q3"":40963666}",,0,random-connected,,,,,,0,,,30,,30,,,distribution,,25,,"[{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":5,""mad"":264626,""max"":40876417,""median"":40295709,""min"":40031083,""q1"":40173792,""q3"":40584500},""q"":null,""target_size"":8.0},{""B"":14.0,""K"":1.0,""M"":11.0,""N"":12.0,""process_wall_time_ns"":{""count"":5,""mad"":212999,""max"":40703959,""median"":40359708,""min"":39857500,""q1"":40146709,""q3"":40532917},""q"":null,""target_size"":12.0},{""B"":16.0,""K"":3.0,""M"":19.0,""N"":18.0,""process_wall_time_ns"":{""count"":5,""mad"":274167,""max"":40754875,""median"":40349666,""min"":39516833,""q1"":40339791,""q3"":40623833},""q"":null,""target_size"":18.0},{""B"":22.0,""K"":7.0,""M"":30.0,""N"":27.0,""process_wall_time_ns"":{""count"":5,""mad"":158541,""max"":41318250,""median"":40865541,""min"":40549625,""q1"":40707000,""q3"":40963666},""q"":null,""target_size"":27.0},{""B"":26.0,""K"":9.0,""M"":38.0,""N"":40.0,""process_wall_time_ns"":{""count"":5,""mad"":134625,""max"":42851792,""median"":42468375,""min"":41847041,""q1"":42333750,""q3"":42474500},""q"":null,""target_size"":40.0}]",,25,0,5
compact-mrd,,,,,,,,,,"{""count"":30,""mad"":815562,""max"":43647542,""median"":41468228.5,""min"":40086667,""q1"":40979250.25,""q3"":42526417.25}",,0,dense-conflict,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":68.0,""K"":96.0,""M"":174.0,""N"":137.0,""process_wall_time_ns"":{""count"":5,""mad"":194667,""max"":41283375,""median"":40281334,""min"":40086667,""q1"":40263208,""q3"":41095583},""q"":32.0,""target_size"":8.0},{""B"":100.0,""K"":192.0,""M"":289.0,""N"":249.0,""process_wall_time_ns"":{""count"":5,""mad"":276334,""max"":41621917,""median"":40787250,""min"":40495708,""q1"":40510916,""q3"":40948917},""q"":48.0,""target_size"":12.0},{""B"":148.0,""K"":396.0,""M"":425.0,""N"":477.0,""process_wall_time_ns"":{""count"":5,""mad"":558792,""max"":42572625,""median"":41241750,""min"":40518083,""q1"":41153375,""q3"":41800542},""q"":72.0,""target_size"":18.0},{""B"":228.0,""K"":896.0,""M"":701.0,""N"":1017.0,""process_wall_time_ns"":{""count"":5,""mad"":171875,""max"":42068333,""median"":41554166,""min"":41070250,""q1"":41382291,""q3"":41650791},""q"":112.0,""target_size"":27.0},{""B"":324.0,""K"":1760.0,""M"":982.0,""N"":1929.0,""process_wall_time_ns"":{""count"":5,""mad"":390792,""max"":42908667,""median"":42512792,""min"":41371083,""q1"":42122000,""q3"":42640875},""q"":160.0,""target_size"":40.0},{""B"":484.0,""K"":3840.0,""M"":1466.0,""N"":4089.0,""process_wall_time_ns"":{""count"":5,""mad"":355959,""max"":43647542,""median"":43186625,""min"":42530959,""q1"":42830666,""q3"":43529875},""q"":240.0,""target_size"":60.0}]",,30,0,0
explicit-hopcroft-karp,,,,,,,,,,"{""count"":30,""mad"":673625.5,""max"":43563625,""median"":41267896,""min"":40168334,""q1"":40883843.25,""q3"":42221979.5}",,0,dense-conflict,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":68.0,""K"":96.0,""M"":174.0,""N"":137.0,""process_wall_time_ns"":{""count"":5,""mad"":332083,""max"":42012084,""median"":40707292,""min"":40371750,""q1"":40383500,""q3"":41039375},""q"":32.0,""target_size"":8.0},{""B"":100.0,""K"":192.0,""M"":289.0,""N"":249.0,""process_wall_time_ns"":{""count"":5,""mad"":413374,""max"":42256959,""median"":40581708,""min"":40168334,""q1"":40336792,""q3"":41146750},""q"":48.0,""target_size"":12.0},{""B"":148.0,""K"":396.0,""M"":425.0,""N"":477.0,""process_wall_time_ns"":{""count"":5,""mad"":28917,""max"":41205542,""median"":41133000,""min"":40606833,""q1"":41104083,""q3"":41133833},""q"":72.0,""target_size"":18.0},{""B"":228.0,""K"":896.0,""M"":701.0,""N"":1017.0,""process_wall_time_ns"":{""count"":5,""mad"":111083,""max"":41441333,""median"":41330250,""min"":40852916,""q1"":40976625,""q3"":41352875},""q"":112.0,""target_size"":27.0},{""B"":324.0,""K"":1760.0,""M"":982.0,""N"":1929.0,""process_wall_time_ns"":{""count"":5,""mad"":278583,""max"":42518958,""median"":42117041,""min"":41608000,""q1"":41838458,""q3"":42357875},""q"":160.0,""target_size"":40.0},{""B"":484.0,""K"":3840.0,""M"":1466.0,""N"":4089.0,""process_wall_time_ns"":{""count"":5,""mad"":22833,""max"":43563625,""median"":42995458,""min"":42436792,""q1"":42972625,""q3"":43007291},""q"":240.0,""target_size"":60.0}]",,30,0,0
explicit-c0-flow,,,,,,,,,,"{""count"":30,""mad"":817854.5,""max"":45831916,""median"":41390750,""min"":40077542,""q1"":40829645.75,""q3"":42364615}",,0,dense-conflict,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":68.0,""K"":96.0,""M"":354.0,""N"":137.0,""process_wall_time_ns"":{""count"":5,""mad"":410875,""max"":41222875,""median"":40809333,""min"":40164333,""q1"":40433750,""q3"":41220208},""q"":32.0,""target_size"":8.0},{""B"":100.0,""K"":192.0,""M"":674.0,""N"":249.0,""process_wall_time_ns"":{""count"":5,""mad"":150500,""max"":40704750,""median"":40554250,""min"":40077542,""q1"":40294375,""q3"":40666167},""q"":48.0,""target_size"":12.0},{""B"":148.0,""K"":396.0,""M"":1334.0,""N"":477.0,""process_wall_time_ns"":{""count"":5,""mad"":174541,""max"":41490417,""median"":41065125,""min"":40890584,""q1"":41022875,""q3"":41291083},""q"":72.0,""target_size"":18.0},{""B"":228.0,""K"":896.0,""M"":2914.0,""N"":1017.0,""process_wall_time_ns"":{""count"":5,""mad"":521418,""max"":42387334,""median"":41668541,""min"":41144417,""q1"":41602208,""q3"":42189959},""q"":112.0,""target_size"":27.0},{""B"":324.0,""K"":1760.0,""M"":5602.0,""N"":1929.0,""process_wall_time_ns"":{""count"":5,""mad"":172708,""max"":42992500,""median"":42296458,""min"":42123750,""q1"":42248542,""q3"":42630000},""q"":160.0,""target_size"":40.0},{""B"":484.0,""K"":3840.0,""M"":12002.0,""N"":4089.0,""process_wall_time_ns"":{""count"":5,""mad"":637584,""max"":45831916,""median"":44836625,""min"":44199041,""q1"":44625584,""q3"":45485292},""q"":240.0,""target_size"":60.0}]",,30,0,0
exact-cover-oracle,,,,,,,,,,,,0,dense-conflict,,,,,,0,,,30,,30,,,distribution,,0,,[],,0,0,30
compact-mrd,,,,,,,,,,"{""count"":30,""mad"":550541.5,""max"":43814125,""median"":41296395.5,""min"":40193458,""q1"":40848948,""q3"":41982833.25}",,0,sparse-conflict,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":36.0,""K"":null,""M"":14.0,""N"":69.0,""process_wall_time_ns"":{""count"":5,""mad"":331000,""max"":43814125,""median"":41143625,""min"":40292375,""q1"":40812625,""q3"":41253958},""q"":6.0,""target_size"":8.0},{""B"":52.0,""K"":null,""M"":22.0,""N"":101.0,""process_wall_time_ns"":{""count"":5,""mad"":93374,""max"":41143042,""median"":40451334,""min"":40193458,""q1"":40408083,""q3"":40544708},""q"":10.0,""target_size"":12.0},{""B"":76.0,""K"":null,""M"":34.0,""N"":149.0,""process_wall_time_ns"":{""count"":5,""mad"":268709,""max"":42034250,""median"":41765541,""min"":40274166,""q1"":41309958,""q3"":41828583},""q"":16.0,""target_size"":18.0},{""B"":112.0,""K"":null,""M"":52.0,""N"":221.0,""process_wall_time_ns"":{""count"":5,""mad"":517333,""max"":42153250,""median"":41635917,""min"":40727500,""q1"":40957917,""q3"":42117334},""q"":25.0,""target_size"":27.0},{""B"":164.0,""K"":null,""M"":78.0,""N"":325.0,""process_wall_time_ns"":{""count"":5,""mad"":317208,""max"":42424916,""median"":42107708,""min"":41204250,""q1"":41282833,""q3"":42325250},""q"":38.0,""target_size"":40.0},{""B"":244.0,""K"":null,""M"":118.0,""N"":485.0,""process_wall_time_ns"":{""count"":5,""mad"":167458,""max"":42129125,""median"":41641417,""min"":41062417,""q1"":41526333,""q3"":41808875},""q"":58.0,""target_size"":60.0}]",,30,0,0
explicit-hopcroft-karp,,,,,,,,,,"{""count"":30,""mad"":363041,""max"":42050667,""median"":41228167,""min"":39979583,""q1"":40690687.5,""q3"":41458156.5}",,0,sparse-conflict,,,,,,0,,,30,,30,,,distribution,,30,,"[{""B"":36.0,""K"":null,""M"":14.0,""N"":69.0,""process_wall_time_ns"":{""count"":5,""mad"":105917,""max"":40605875,""median"":40355959,""min"":40250042,""q1"":40345958,""q3"":40515291},""q"":6.0,""target_size"":8.0},{""B"":52.0,""K"":null,""M"":22.0,""N"":101.0,""process_wall_time_ns"":{""count"":5,""mad"":495625,""max"":41231333,""median"":40735125,""min"":40098084,""q1"":40675875,""q3"":41230750},""q"":10.0,""target_size"":12.0},{""B"":76.0,""K"":null,""M"":34.0,""N"":149.0,""process_wall_time_ns"":{""count"":5,""mad"":234166,""max"":41573083,""median"":41129166,""min"":39979583,""q1"":40895000,""q3"":41183041},""q"":16.0,""target_size"":18.0},{""B"":112.0,""K"":null,""M"":52.0,""N"":221.0,""process_wall_time_ns"":{""count"":5,""mad"":254333,""max"":41675208,""median"":41376000,""min"":41080750,""q1"":41121667,""q3"":41383500},""q"":25.0,""target_size"":27.0},{""B"":164.0,""K"":null,""M"":78.0,""N"":325.0,""process_wall_time_ns"":{""count"":5,""mad"":157876,""max"":41767584,""median"":41483042,""min"":41225584,""q1"":41325166,""q3"":41609333},""q"":38.0,""target_size"":40.0},{""B"":244.0,""K"":null,""M"":118.0,""N"":485.0,""process_wall_time_ns"":{""count"":5,""mad"":210167,""max"":42050667,""median"":41840500,""min"":41239042,""q1"":41304083,""q3"":41998542},""q"":58.0,""target_size"":60.0}]",,30,0,0
