schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,4,1,random-connected:424242:4:0,0,True,False,0,8.0,success,success,0,valid,,,362455083,362271000,4,4,4,1,6,1,0,0,0,0,0,0,,,2,,,,0,0,,,0,96625,36417,51041,,25917,,,83,83,0,38792,9208,19250,184083,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,4,1,random-connected:424242:4:0,0,True,False,1,8.0,success,success,0,valid,,,39008250,38867250,4,4,4,1,6,1,0,0,0,0,0,0,2,,2,0,0,0,0,0,2,0,0,12916,8459,4166,28417,1750,35375,8917,35916,167,0,8083,1625,4042,141000,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,4,1,random-connected:424242:4:0,0,True,False,2,8.0,success,success,0,valid,,,38948125,38890667,4,4,4,1,6,1,0,0,0,,0,0,2,,2,0,0,0,0,0,,,0,10875,13000,4292,2625,,13834,1583,3500,375,84,8417,1666,3918,57458,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,4,1,random-connected:424242:4:0,0,True,False,3,8.0,success,success,0,valid,,,38496125,38425292,4,4,4,1,6,1,0,0,0,,0,0,,,2,,,,,,,,0,10125,,,,,,,68542,,,,,416,70833,,,,,,,,,,,,,,,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,4,1,random-connected:424242:4:0,0,False,True,0,8.0,success,success,0,valid,,,38642542,38606958,4,4,4,1,6,1,0,0,0,0,0,0,,,2,,,,0,0,,,0,11416,10958,4500,,2292,,,250,291,500,7417,1500,3626,35584,,,,,6,1,,,0,0,0,0,2,,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,4,1,random-connected:424242:4:0,0,False,True,1,8.0,success,success,0,valid,,,40397375,40352666,4,4,4,1,6,1,0,0,0,0,0,0,2,,2,0,0,0,0,0,2,0,0,9750,8291,4459,2834,1709,4584,1041,3542,375,125,8166,1417,3792,44709,,,,,6,1,,,0,0,0,0,2,,
1,paper-scaling,random-connected,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,4,1,random-connected:424242:4:0,0,False,True,2,8.0,success,success,0,valid,,,39263416,39218708,4,4,4,1,6,1,0,0,0,,0,0,2,,2,0,0,0,0,0,,,0,10833,9167,4334,2750,,4334,1708,3250,375,83,8458,1959,4333,44708,,,,,6,1,,,0,0,0,0,2,,
1,paper-scaling,random-connected,exact-cover-oracle,exact-cover-oracle::solve (independent bitset branch-and-bound),424242,4,1,random-connected:424242:4:0,0,False,True,3,8.0,success,success,0,valid,,,40475209,40453209,4,4,4,1,6,1,0,0,0,,0,0,,,2,,,,,,,,0,12167,,,,,,,20041,,,,,542,22000,,,,,6,1,,,0,0,0,0,2,,
1,paper-scaling,random-connected,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,4,1,random-connected:424242:4:1,1,False,True,0,8.0,success,success,0,valid,,,39805250,39772416,4,4,4,1,6,1,0,0,0,0,0,0,,,2,,,,0,0,,,0,10250,8833,4375,,2292,,,250,333,125,7750,1709,3750,32834,,,,,6,1,,,0,0,0,0,2,,
1,paper-scaling,random-connected,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,4,1,random-connected:424242:4:1,1,False,True,1,8.0,success,success,0,valid,,,39740250,39693333,4,4,4,1,6,1,0,0,0,0,0,0,2,,2,0,0,0,0,0,2,0,0,10250,10917,4208,2750,1750,4959,1041,3542,292,0,8125,1541,3959,46917,,,,,6,1,,,0,0,0,0,2,,
