algorithm,alpha_ols,alpha_ols_ci95,alpha_theil_sen,bootstrap_ci95,bootstrap_resamples,bootstrap_seed,claim_status,comparison,distribution_ns,excluded_sizes,failure_count,family,fit_independent_range,fit_target_size_range,geometric_mean_ratio,independent_variable,independent_variable_definition,invalid_count,median_ratio,median_ratio_by_target_size,paired_count,r_squared,ratio_distribution,record_type,residuals_log_time,sample_count,size_level_count,size_levels,stable_crossover_target_size,timeout_count,unsupported_count
compact-mrd,,,,,,,,,"{""count"":12,""mad"":859333.5,""max"":42273750,""median"":40407104,""min"":38640458,""q1"":39772854.25,""q3"":41233260.25}",,0,random-connected,,,,,,0,,,,,,distribution,,12,,"[{""B"":6.0,""K"":null,""M"":null,""N"":4.0,""process_wall_time_ns"":{""count"":3,""mad"":42166,""max"":40266750,""median"":39263416,""min"":39221250,""q1"":39242333,""q3"":39765083},""q"":null,""target_size"":4},{""B"":10.0,""K"":1.0,""M"":9.0,""N"":6.0,""process_wall_time_ns"":{""count"":3,""mad"":1344375,""max"":41367625,""median"":40023250,""min"":38640458,""q1"":39331854,""q3"":40695437.5},""q"":2.0,""target_size"":6},{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":3,""mad"":132709,""max"":41332792,""median"":41200083,""min"":40547458,""q1"":40873770.5,""q3"":41266437.5},""q"":4.0,""target_size"":8},{""B"":16.0,""K"":6.0,""M"":21.0,""N"":10.0,""process_wall_time_ns"":{""count"":3,""mad"":881083,""max"":42273750,""median"":40823750,""min"":39942667,""q1"":40383208.5,""q3"":41548750},""q"":5.0,""target_size"":10}]",,0,0
explicit-hopcroft-karp,,,,,,,,,"{""count"":12,""mad"":617666.5,""max"":41652250,""median"":40497166.5,""min"":38642542,""q1"":39916625,""q3"":40965541.5}",,0,random-connected,,,,,,0,,,,,,distribution,,12,,"[{""B"":6.0,""K"":null,""M"":null,""N"":4.0,""process_wall_time_ns"":{""count"":3,""mad"":1162708,""max"":41206917,""median"":39805250,""min"":38642542,""q1"":39223896,""q3"":40506083.5},""q"":null,""target_size"":4},{""B"":10.0,""K"":1.0,""M"":9.0,""N"":6.0,""process_wall_time_ns"":{""count"":3,""mad"":335874,""max"":41652250,""median"":40472791,""min"":40136917,""q1"":40304854,""q3"":41062520.5},""q"":2.0,""target_size"":6},{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":3,""mad"":752416,""max"":41273958,""median"":40521542,""min"":39319833,""q1"":39920687.5,""q3"":40897750},""q"":4.0,""target_size"":8},{""B"":16.0,""K"":6.0,""M"":21.0,""N"":10.0,""process_wall_time_ns"":{""count"":3,""mad"":205792,""max"":40885083,""median"":40679291,""min"":39953750,""q1"":40316520.5,""q3"":40782187},""q"":5.0,""target_size"":10}]",,0,0
explicit-c0-flow,,,,,,,,,"{""count"":12,""mad"":462833.5,""max"":49836333,""median"":40774458.5,""min"":39740250,""q1"":40354500,""q3"":41014333.25}",,0,random-connected,,,,,,0,,,,,,distribution,,12,,"[{""B"":6.0,""K"":null,""M"":null,""N"":4.0,""process_wall_time_ns"":{""count"":3,""mad"":43584,""max"":40397375,""median"":39783834,""min"":39740250,""q1"":39762042,""q3"":40090604.5},""q"":null,""target_size"":4},{""B"":10.0,""K"":1.0,""M"":9.0,""N"":6.0,""process_wall_time_ns"":{""count"":3,""mad"":9750,""max"":40882125,""median"":40808375,""min"":40798625,""q1"":40803500,""q3"":40845250},""q"":2.0,""target_size"":6},{""B"":14.0,""K"":4.0,""M"":22.0,""N"":8.0,""process_wall_time_ns"":{""count"":3,""mad"":74459,""max"":41649584,""median"":40750292,""min"":40675833,""q1"":40713062.5,""q3"":41199938},""q"":4.0,""target_size"":8},{""B"":16.0,""K"":6.0,""M"":30.0,""N"":10.0,""process_wall_time_ns"":{""count"":3,""mad"":1185083,""max"":49836333,""median"":41410958,""min"":40225875,""q1"":40818416.5,""q3"":45623645.5},""q"":5.0,""target_size"":10}]",,0,0
exact-cover-oracle,,,,,,,,,"{""count"":12,""mad"":426604,""max"":41706916,""median"":40529375,""min"":40005458,""q1"":40282396,""q3"":41143395.75}",,0,random-connected,,,,,,0,,,,,,distribution,,12,,"[{""B"":6.0,""K"":null,""M"":null,""N"":4.0,""process_wall_time_ns"":{""count"":3,""mad"":108332,""max"":41001583,""median"":40583541,""min"":40475209,""q1"":40529375,""q3"":40792562},""q"":null,""target_size"":4},{""B"":10.0,""K"":1.0,""M"":9.0,""N"":6.0,""process_wall_time_ns"":{""count"":3,""mad"":142917,""max"":41053500,""median"":40148375,""min"":40005458,""q1"":40076916.5,""q3"":40600937.5},""q"":null,""target_size"":6},{""B"":14.0,""K"":4.0,""M"":15.0,""N"":8.0,""process_wall_time_ns"":{""count"":3,""mad"":255791,""max"":41706916,""median"":40452000,""min"":40196209,""q1"":40324104.5,""q3"":41079458},""q"":null,""target_size"":8},{""B"":16.0,""K"":6.0,""M"":21.0,""N"":10.0,""process_wall_time_ns"":{""count"":3,""mad"":500,""max"":41413583,""median"":41413083,""min"":40311125,""q1"":40862104,""q3"":41413333},""q"":null,""target_size"":10}]",,0,0
compact-mrd,,,,,,,,,"{""count"":12,""mad"":529604,""max"":43737917,""median"":41955500,""min"":40247833,""q1"":41429864.75,""q3"":42299457.75}",,0,dense-conflict,,,,,,0,,,,,,distribution,,12,,"[{""B"":36.0,""K"":32.0,""M"":91.0,""N"":57.0,""process_wall_time_ns"":{""count"":3,""mad"":948292,""max"":43737917,""median"":42533958,""min"":41585666,""q1"":42059812,""q3"":43135937.5},""q"":16.0,""target_size"":4},{""B"":52.0,""K"":60.0,""M"":140.0,""N"":93.0,""process_wall_time_ns"":{""count"":3,""mad"":405458,""max"":42625458,""median"":42220000,""min"":40247833,""q1"":41233916.5,""q3"":42422729},""q"":24.0,""target_size"":6},{""B"":68.0,""K"":96.0,""M"":174.0,""N"":137.0,""process_wall_time_ns"":{""count"":3,""mad"":343292,""max"":42221291,""median"":41474750,""min"":41131458,""q1"":41303104,""q3"":41848020.5},""q"":32.0,""target_size"":8},{""B"":84.0,""K"":140.0,""M"":243.0,""N"":189.0,""process_wall_time_ns"":{""count"":3,""mad"":422668,""max"":42166834,""median"":41744166,""min"":41295209,""q1"":41519687.5,""q3"":41955500},""q"":40.0,""target_size"":10}]",,0,0
explicit-hopcroft-karp,,,,,,,,,"{""count"":12,""mad"":587625,""max"":43725792,""median"":42005145.5,""min"":40457500,""q1"":41461708.25,""q3"":42513010.25}",,0,dense-conflict,,,,,,0,,,,,,distribution,,12,,"[{""B"":36.0,""K"":32.0,""M"":91.0,""N"":57.0,""process_wall_time_ns"":{""count"":3,""mad"":521291,""max"":43725792,""median"":42420791,""min"":41899500,""q1"":42160145.5,""q3"":43073291.5},""q"":16.0,""target_size"":4},{""B"":52.0,""K"":60.0,""M"":140.0,""N"":93.0,""process_wall_time_ns"":{""count"":3,""mad"":866167,""max"":43618458,""median"":42752291,""min"":40940333,""q1"":41846312,""q3"":43185374.5},""q"":24.0,""target_size"":6},{""B"":68.0,""K"":96.0,""M"":174.0,""N"":137.0,""process_wall_time_ns"":{""count"":3,""mad"":797750,""max"":42433250,""median"":41635500,""min"":40754917,""q1"":41195208.5,""q3"":42034375},""q"":32.0,""target_size"":8},{""B"":84.0,""K"":140.0,""M"":243.0,""N"":189.0,""process_wall_time_ns"":{""count"":3,""mad"":450874,""max"":42110791,""median"":41659917,""min"":40457500,""q1"":41058708.5,""q3"":41885354},""q"":40.0,""target_size"":10}]",,0,0
explicit-c0-flow,,,,,,,,,"{""count"":12,""mad"":661041.5,""max"":42586708,""median"":41377687.5,""min"":39355959,""q1"":40418281,""q3"":41762885.75}",,0,dense-conflict,,,,,,0,,,,,,distribution,,12,,"[{""B"":36.0,""K"":32.0,""M"":130.0,""N"":57.0,""process_wall_time_ns"":{""count"":3,""mad"":497791,""max"":41762292,""median"":39853750,""min"":39355959,""q1"":39604854.5,""q3"":40808021},""q"":16.0,""target_size"":4},{""B"":52.0,""K"":60.0,""M"":230.0,""N"":93.0,""process_wall_time_ns"":{""count"":3,""mad"":358709,""max"":42586708,""median"":41557042,""min"":41198333,""q1"":41377687.5,""q3"":42071875},""q"":24.0,""target_size"":6},{""B"":68.0,""K"":96.0,""M"":354.0,""N"":137.0,""process_wall_time_ns"":{""count"":3,""mad"":174208,""max"":41764667,""median"":40461833,""min"":40287625,""q1"":40374729,""q3"":41113250},""q"":32.0,""target_size"":8},{""B"":84.0,""K"":140.0,""M"":502.0,""N"":189.0,""process_wall_time_ns"":{""count"":3,""mad"":621458,""max"":42253083,""median"":41631625,""min"":40931000,""q1"":41281312.5,""q3"":41942354},""q"":40.0,""target_size"":10}]",,0,0
exact-cover-oracle,,,,,,,,,,,0,dense-conflict,,,,,,0,,,,,,distribution,,0,,[],,0,12
compact-mrd,,,,,,,,,"{""count"":12,""mad"":456813,""max"":46158083,""median"":44395729,""min"":42352709,""q1"":42626062.5,""q3"":44656718.75}",,0,representation-crossover,,,,,,0,,,,,,distribution,,12,,"[{""B"":68.0,""K"":64.0,""M"":51.0,""N"":1676.0,""process_wall_time_ns"":{""count"":3,""mad"":165708,""max"":44872959,""median"":42518417,""min"":42352709,""q1"":42435563,""q3"":43695688},""q"":16.0,""target_size"":4},{""B"":100.0,""K"":144.0,""M"":75.0,""N"":2956.0,""process_wall_time_ns"":{""count"":3,""mad"":275167,""max"":44598250,""median"":44323083,""min"":42654125,""q1"":43488604,""q3"":44460666.5},""q"":24.0,""target_size"":6},{""B"":132.0,""K"":256.0,""M"":99.0,""N"":4596.0,""process_wall_time_ns"":{""count"":3,""mad"":464291,""max"":44468375,""median"":44004084,""min"":42541875,""q1"":43272979.5,""q3"":44236229.5},""q"":32.0,""target_size"":8},{""B"":164.0,""K"":400.0,""M"":123.0,""N"":6596.0,""process_wall_time_ns"":{""count"":3,""mad"":329250,""max"":46158083,""median"":44832125,""min"":44502875,""q1"":44667500,""q3"":45495104},""q"":40.0,""target_size"":10}]",,0,0
explicit-hopcroft-karp,,,,,,,,,"{""count"":12,""mad"":995167,""max"":47019166,""median"":43446041,""min"":41703334,""q1"":42595749.75,""q3"":44445823.5}",,0,representation-crossover,,,,,,0,,,,,,distribution,,12,,"[{""B"":68.0,""K"":64.0,""M"":51.0,""N"":1676.0,""process_wall_time_ns"":{""count"":3,""mad"":255750,""max"":43172166,""median"":41959084,""min"":41703334,""q1"":41831209,""q3"":42565625},""q"":16.0,""target_size"":4},{""B"":100.0,""K"":144.0,""M"":75.0,""N"":2956.0,""process_wall_time_ns"":{""count"":3,""mad"":384876,""max"":43719916,""median"":43116209,""min"":42731333,""q1"":42923771,""q3"":43418062.5},""q"":24.0,""target_size"":6},{""B"":132.0,""K"":256.0,""M"":99.0,""N"":4596.0,""process_wall_time_ns"":{""count"":3,""mad"":371167,""max"":44179334,""median"":43808167,""min"":42189000,""q1"":42998583.5,""q3"":43993750.5},""q"":32.0,""target_size"":8},{""B"":164.0,""K"":400.0,""M"":123.0,""N"":6596.0,""process_wall_time_ns"":{""count"":3,""mad"":737583,""max"":47019166,""median"":45982875,""min"":45245292,""q1"":45614083.5,""q3"":46501020.5},""q"":40.0,""target_size"":10}]",,0,0
