git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,parameters,component_id,status,message,exact_cover_compared,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,effective_chord_enumerator,effective_chord_enumeration_microseconds,horizontal_interior_run_count,vertical_interior_run_count,candidate_reflex_pair_count,emitted_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,c0_network_vertex_count,c0_network_arc_count,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,c0_phase_microseconds,compressed_phase_microseconds,compact_only_phase_microseconds,peak_memory_bytes,owned_allocation_estimates
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,endpoint-dense-tabs,endpoint-contact,"{""min_horizontal"":2,""min_vertical"":2}",1,verified,,true,29,20,0,8,4,4,8,reference-pairwise,15,,,,8,12,12,16,7,18,18,8,18,12,22,32,17,26,4,4,5,"{""biclique_partition"":28,""boundary_effective_chords"":15,""compressed_flow"":7,""dominance_embedding"":30,""geometric_completion"":13}","{""biclique_partition"":14,""boundary_effective_chords"":15,""compressed_flow"":3,""dominance_embedding"":1,""geometric_completion"":10}","{""biclique_partition"":6,""boundary_effective_chords"":15,""compressed_flow"":2,""dominance_embedding"":0,""geometric_completion"":10}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,endpoint-near-identical-minus-one-cell,endpoint-contact,"{""min_horizontal"":2,""min_vertical"":2}",1,verified,,true,28,16,0,6,3,2,5,reference-pairwise,12,,,,5,4,4,6,1,4,4,5,4,4,11,13,8,9,2,2,4,"{""biclique_partition"":2,""boundary_effective_chords"":14,""compressed_flow"":1,""dominance_embedding"":1,""geometric_completion"":10}","{""biclique_partition"":6,""boundary_effective_chords"":12,""compressed_flow"":1,""dominance_embedding"":0,""geometric_completion"":9}","{""biclique_partition"":1,""boundary_effective_chords"":12,""compressed_flow"":1,""dominance_embedding"":0,""geometric_completion"":9}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,one-hole-ring,topology,"{""holes"":1}",0,verified,,true,24,8,1,4,0,0,0,reference-pairwise,13,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,4,"{""biclique_partition"":0,""boundary_effective_chords"":14,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":14}","{""biclique_partition"":0,""boundary_effective_chords"":13,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":11}","{""biclique_partition"":0,""boundary_effective_chords"":14,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":11}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,multiple-separated-holes,topology,"{""holes"":2}",0,verified,,false,65,12,2,8,2,0,2,reference-pairwise,21,,,,2,0,,,0,0,0,2,,,4,2,4,2,0,0,5,"{""biclique_partition"":0,""boundary_effective_chords"":24,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":34}","{""biclique_partition"":0,""boundary_effective_chords"":21,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":28}","{""biclique_partition"":0,""boundary_effective_chords"":23,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":25}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,nested-looking-bridged-rings,topology,{},0,verified,,false,82,16,1,8,2,0,2,reference-pairwise,28,,,,2,0,,,0,0,0,2,,,4,2,4,2,0,0,6,"{""biclique_partition"":0,""boundary_effective_chords"":29,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":40}","{""biclique_partition"":0,""boundary_effective_chords"":28,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":38}","{""biclique_partition"":0,""boundary_effective_chords"":32,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":36}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,one-cell-wide-corridor,topology,"{""corridor_width"":1}",0,verified,,true,29,10,0,3,0,0,0,reference-pairwise,16,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,4,"{""biclique_partition"":0,""boundary_effective_chords"":17,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":15}","{""biclique_partition"":0,""boundary_effective_chords"":16,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":13}","{""biclique_partition"":0,""boundary_effective_chords"":17,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":13}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,comb,topology,"{""teeth"":6}",0,verified,,false,43,26,0,11,5,0,5,reference-pairwise,25,,,,5,0,,,0,0,0,5,,,7,5,7,5,0,0,7,"{""biclique_partition"":0,""boundary_effective_chords"":25,""compressed_flow"":1,""dominance_embedding"":1,""geometric_completion"":15}","{""biclique_partition"":0,""boundary_effective_chords"":25,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":14}","{""biclique_partition"":0,""boundary_effective_chords"":27,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":13}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,double-comb,topology,"{""teeth_per_side"":6}",0,verified,,false,74,54,10,45,21,11,32,reference-pairwise,39,,,,32,20,20,231,19,39,39,32,39,20,54,72,53,71,10,10,14,"{""biclique_partition"":12,""boundary_effective_chords"":43,""compressed_flow"":5,""dominance_embedding"":5,""geometric_completion"":32}","{""biclique_partition"":27,""boundary_effective_chords"":39,""compressed_flow"":8,""dominance_embedding"":4,""geometric_completion"":27}","{""biclique_partition"":20,""boundary_effective_chords"":38,""compressed_flow"":5,""dominance_embedding"":2,""geometric_completion"":25}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase,topology,"{""steps"":8}",0,verified,,true,36,18,0,7,0,0,0,reference-pairwise,11,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,8,"{""biclique_partition"":0,""boundary_effective_chords"":12,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":28}","{""biclique_partition"":0,""boundary_effective_chords"":11,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":23}","{""biclique_partition"":0,""boundary_effective_chords"":15,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":22}",,{}
b90cde9c711184fe5857dd611e75c37d62035297,rustc 1.89.0 (29483883e 2025-08-04),target/release/rect-cli benchmark --suite adversarial --output /tmp/mrd-v03-final-adversarial/adversarial.csv,,1784946776,17,19,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral,topology,"{""size"":11}",0,verified,,false,71,24,0,10,0,0,0,reference-pairwise,38,,,,0,0,,,0,0,,,,,2,0,2,0,0,0,11,"{""biclique_partition"":0,""boundary_effective_chords"":41,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":60}","{""biclique_partition"":0,""boundary_effective_chords"":38,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":55}","{""biclique_partition"":0,""boundary_effective_chords"":45,""compressed_flow"":0,""dominance_embedding"":0,""geometric_completion"":53}",,{}
