git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,parameters,component_id,status,message,exact_cover_compared,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,effective_chord_enumerator,effective_chord_enumeration_microseconds,prepared_component_build_count,prepared_component_build_microseconds,boundary_extraction_microseconds,reflex_grouping_microseconds,occupancy_bytes,horizontal_interior_run_count,vertical_interior_run_count,candidate_reflex_pair_count,emitted_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,c0_network_vertex_count,c0_network_arc_count,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,completion_backend,selected_chord_cut_materialization_microseconds,horizontal_simple_chord_completion_microseconds,vertical_simple_chord_completion_microseconds,rectangle_recovery_microseconds,final_output_validation_microseconds,completion_candidate_queries,completion_full_grid_scans,completion_added_horizontal_unit_cuts,completion_added_vertical_unit_cuts,completion_stale_candidates,rectangle_recovery_queue_pushes,rectangle_recovery_region_count,rectangle_recovery_allocations,c0_phase_microseconds,compressed_phase_microseconds,compact_only_phase_microseconds,peak_memory_bytes,owned_allocation_estimates
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase-reference-rescan,completion-heavy,"{""requested_size"":8,""steps"":8}",0,verified,,false,36,18,0,7,0,0,0,grid-interior-runs,0,1,12,73,2,712,7,7,0,0,,,,0,0,,,,,0,0,2,0,0,0,8,reference-rescan,0,39,4,19,10,674,9,28,0,0,36,8,4,{},{},"{""biclique_partition"":8,""boundary_effective_chords"":106,""boundary_extraction"":73,""component_preparation"":12,""compressed_flow"":0,""dominance_embedding"":26,""effective_chord_enumeration"":0,""final_output_validation"":10,""geometric_completion"":83,""horizontal_simple_chord_completion"":39,""rectangle_recovery"":19,""reflex_grouping"":2,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":704,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":936}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral-reference-rescan,completion-heavy,"{""requested_size"":8,""size"":9}",0,verified,,false,49,20,0,8,0,0,0,grid-interior-runs,0,1,2,35,0,881,14,14,0,0,,,,0,0,,,,,0,0,2,0,0,0,9,reference-rescan,0,30,5,13,2,1284,10,8,0,0,49,9,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":39,""boundary_extraction"":35,""component_preparation"":2,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":2,""geometric_completion"":51,""horizontal_simple_chord_completion"":30,""rectangle_recovery"":13,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":5}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":416,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":1649}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase-reference-rescan,completion-heavy,"{""requested_size"":16,""steps"":16}",0,verified,,false,136,34,0,15,0,0,0,grid-interior-runs,0,1,2,35,2,2568,15,15,0,0,,,,0,0,,,,,0,0,2,0,0,0,16,reference-rescan,0,205,20,33,3,3906,17,120,0,0,136,16,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":41,""boundary_extraction"":35,""component_preparation"":2,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":3,""geometric_completion"":264,""horizontal_simple_chord_completion"":205,""rectangle_recovery"":33,""reflex_grouping"":2,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":20}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":2432,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":3048}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral-reference-rescan,completion-heavy,"{""requested_size"":16,""size"":17}",0,verified,,false,161,36,0,16,0,0,0,grid-interior-runs,0,1,3,111,1,2881,44,44,0,0,,,,0,0,,,,,0,0,2,0,0,0,17,reference-rescan,0,181,22,33,5,6776,18,16,0,0,161,17,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":117,""boundary_extraction"":111,""component_preparation"":3,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":5,""geometric_completion"":243,""horizontal_simple_chord_completion"":181,""rectangle_recovery"":33,""reflex_grouping"":1,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":22}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":800,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":5441}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase-reference-rescan,completion-heavy,"{""requested_size"":32,""steps"":32}",0,verified,,false,528,66,0,31,0,0,0,grid-interior-runs,0,1,4,97,2,9736,31,31,0,0,,,,0,0,,,,,0,0,2,0,0,0,32,reference-rescan,0,1596,98,123,7,26242,33,496,0,0,528,32,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":105,""boundary_extraction"":97,""component_preparation"":4,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":7,""geometric_completion"":1828,""horizontal_simple_chord_completion"":1596,""rectangle_recovery"":123,""reflex_grouping"":2,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":98}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":8960,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":10728}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral-reference-rescan,completion-heavy,"{""requested_size"":32,""size"":33}",0,verified,,false,577,68,0,32,0,0,0,grid-interior-runs,1,1,9,405,2,10337,152,152,0,0,,,,0,0,,,,,0,0,2,0,0,0,33,reference-rescan,0,1315,86,106,12,42720,34,32,0,0,577,33,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":419,""boundary_extraction"":405,""component_preparation"":9,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":1,""final_output_validation"":12,""geometric_completion"":1521,""horizontal_simple_chord_completion"":1315,""rectangle_recovery"":106,""reflex_grouping"":2,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":86}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":1568,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":19553}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase-reference-rescan,completion-heavy,"{""requested_size"":64,""steps"":64}",0,verified,,false,2080,130,0,63,0,0,0,grid-interior-runs,0,1,13,343,5,37896,63,63,0,0,,,,0,0,,,,,0,0,2,0,0,0,64,reference-rescan,0,14401,457,512,22,191746,65,2016,0,0,2080,64,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":365,""boundary_extraction"":343,""component_preparation"":13,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":22,""geometric_completion"":15407,""horizontal_simple_chord_completion"":14401,""rectangle_recovery"":512,""reflex_grouping"":5,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":457}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":34304,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":39912}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral-reference-rescan,completion-heavy,"{""requested_size"":64,""size"":65}",0,verified,,false,2177,132,0,64,0,0,0,grid-interior-runs,5,1,28,1471,4,39073,560,560,0,0,,,,0,0,,,,,0,0,2,0,0,0,65,reference-rescan,0,11006,372,393,36,300464,66,64,0,0,2177,65,4,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":1512,""boundary_extraction"":1471,""component_preparation"":28,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":5,""final_output_validation"":36,""geometric_completion"":11809,""horizontal_simple_chord_completion"":11006,""rectangle_recovery"":393,""reflex_grouping"":4,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":372}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_output_vectors"":3104,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":73889}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,staircase-indexed-frontier,completion-heavy,"{""requested_size"":8,""steps"":8}",0,verified,,false,36,18,0,7,0,0,0,grid-interior-runs,0,1,1,14,0,712,7,7,0,0,,,,0,0,,,,,0,0,2,0,0,0,8,indexed-frontier,0,22,3,1,2,401,2,28,0,0,36,8,3,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":17,""boundary_extraction"":14,""component_preparation"":1,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":2,""geometric_completion"":30,""horizontal_simple_chord_completion"":22,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":3}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_dense_arrays_estimate"":856,""completion_output_vectors"":704,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":936}"
09cbb218cb8307e7d1ee3fa56fd198cce6d8fa3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite completion-heavy --families staircase,spiral --sizes 8,16,32,64 --output results/v0.5-completion-heavy.csv",,1784961512,16,16,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,orthogonal-spiral-indexed-frontier,completion-heavy,"{""requested_size"":8,""size"":9}",0,verified,,false,49,20,0,8,0,0,0,grid-interior-runs,0,1,1,34,0,881,14,14,0,0,,,,0,0,,,,,0,0,2,0,0,0,9,indexed-frontier,0,7,4,1,1,440,2,8,0,0,49,9,3,{},{},"{""biclique_partition"":0,""boundary_effective_chords"":37,""boundary_extraction"":34,""component_preparation"":1,""compressed_flow"":0,""dominance_embedding"":0,""effective_chord_enumeration"":0,""final_output_validation"":1,""geometric_completion"":16,""horizontal_simple_chord_completion"":7,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}",,"{""biclique_vectors"":0,""certificate_payload"":16,""chord_vectors"":0,""completion_dense_arrays_estimate"":1061,""completion_output_vectors"":416,""embedding_point_arrays"":0,""flow_graph_storage"":16,""prepared_grid_storage_estimate"":1649}"
