workload,q,cells,prepared builds,reference completion us,indexed completion us,speedup,reference enumeration us,indexed enumeration us,reference recovery us,indexed recovery us,reference validation us,indexed validation us,added horizontal cuts,added vertical cuts,exact equality
"completion-heavy/staircase/{""requested_size"":8,""steps"":8}",0,36,1,83,30,2.767,0,0,19,1,10,2,28,0,verified
"completion-heavy/orthogonal-spiral/{""requested_size"":8,""size"":9}",0,49,1,51,16,3.188,0,0,13,1,2,1,8,0,verified
"completion-heavy/staircase/{""requested_size"":16,""steps"":16}",0,136,1,264,37,7.135,0,0,33,1,3,2,120,0,verified
"completion-heavy/orthogonal-spiral/{""requested_size"":16,""size"":17}",0,161,1,243,34,7.147,0,0,33,3,5,4,16,0,verified
"completion-heavy/staircase/{""requested_size"":32,""steps"":32}",0,528,1,1828,117,15.624,0,0,123,4,7,6,496,0,verified
"completion-heavy/orthogonal-spiral/{""requested_size"":32,""size"":33}",0,577,1,1521,98,15.520,1,1,106,6,12,10,32,0,verified
"completion-heavy/staircase/{""requested_size"":64,""steps"":64}",0,2080,1,15407,429,35.914,0,0,512,14,22,19,2016,0,verified
"completion-heavy/orthogonal-spiral/{""requested_size"":64,""size"":65}",0,2177,1,11809,339,34.835,5,4,393,18,36,34,64,0,verified
"area-heavy/solid-area-64x64/{""side"":64}",0,4096,1,1227,256,4.793,0,0,650,28,37,20,0,0,verified
"area-heavy/solid-area-128x128/{""side"":128}",0,16384,1,5576,950,5.869,0,0,2862,108,79,78,0,0,verified
"area-heavy/solid-area-256x256/{""side"":256}",0,65536,1,29379,3792,7.748,0,0,15480,446,289,305,0,0,verified
"dense-completion/dense-conflict-128x128/{""min_horizontal"":128,""min_vertical"":128}",512,17417,1,11802,2202,5.360,30,25,3865,109,106,94,0,0,verified
"dense-completion/dense-conflict-256x256/{""min_horizontal"":256,""min_vertical"":256}",1024,67593,1,50086,9019,5.553,53,51,16248,424,350,360,0,0,verified
"dense-completion/dense-conflict-512x512/{""min_horizontal"":512,""min_vertical"":512}",2048,266249,1,471645,40418,11.669,114,126,206943,2119,3488,1604,0,0,verified
"dense-completion/dense-conflict-1024x1024/{""min_horizontal"":1024,""min_vertical"":1024}",4096,1056777,1,1204406,158002,7.623,263,228,423016,8441,5628,5925,0,0,verified
