rank,direction,family,instance_name,canonical_key,q,horizontal_chords,vertical_chords,sigma_path_tree,sigma_4d,sigma_4d_over_path_tree,sigma_path_tree_over_4d,network_arcs_path_tree,network_arcs_4d,owned_path_tree_bytes,owned_4d_bytes,optimum_equal,rectangles_equal,status
1,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-001,54-bf3f110f573a0a3c,6,3,3,6,8,8/6,6/8,12,14,4176,7548,true,true,verified
2,path-tree-advantage,mixed-branching-connected-sum,mixed-branching-connected-sum-8,556-6ac5fd1c97956930,61,32,29,69,88,88/69,69/88,130,149,36112,82964,true,true,verified
3,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-000,47-41acf8d27e74bcc4,7,4,3,6,7,7/6,6/7,13,14,5104,9146,true,true,verified
4,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-003,63-475ec4fe3b391517,6,3,3,6,7,7/6,6/7,12,13,3856,8361,true,true,verified
5,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-004,64-952bfd620a969096,9,5,4,7,8,8/7,7/8,16,17,5624,9820,true,true,verified
6,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-005,64-da659b9db301862a,7,4,3,7,8,8/7,7/8,14,15,4760,8772,true,true,verified
7,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-010,71-8a393f7909996f98,7,3,4,7,8,8/7,7/8,14,15,4920,10099,true,true,verified
8,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-011,80-beb5e6096c8f4002,8,3,5,7,8,8/7,7/8,15,16,5688,11530,true,true,verified
9,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-012,83-066fd02454250aff,8,5,3,7,8,8/7,7/8,15,16,5640,15183,true,true,verified
10,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-002,60-0cd441f7da7eea4c,6,3,3,8,9,9/8,8/9,14,15,4168,8520,true,true,verified
11,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-006,66-99148130cd2b82bc,6,3,3,8,9,9/8,8/9,14,15,4168,8865,true,true,verified
12,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-008,67-599c183e1a7ade5d,6,3,3,8,9,9/8,8/9,14,15,4008,9203,true,true,verified
13,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-009,70-a8228b93a0184c20,6,3,3,8,9,9/8,8/9,14,15,4168,8620,true,true,verified
14,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-014,97-a802a3f26b863d8f,9,4,5,9,10,10/9,9/10,18,19,6416,16873,true,true,verified
15,path-tree-advantage,stored-path-tree-regression,stored-path-tree-witness-015,115-6a1efa8c88d0856a,8,3,5,8,8,8/8,8/8,16,16,5664,13107,true,true,verified
16,path-tree-advantage,clean-complete-bipartite,clean-complete-bipartite-t16,14756-3c8bf52b277c88dc,64,32,32,64,64,64/64,64/64,128,128,34360,563300,true,true,verified
1,four-d-advantage,stored-path-tree-regression,stored-path-tree-witness-015,115-6a1efa8c88d0856a,8,3,5,8,8,8/8,8/8,16,16,5664,13107,true,true,verified
2,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t16,14756-3c8bf52b277c88dc,64,32,32,64,64,64/64,64/64,128,128,34360,563300,true,true,verified
3,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t4,1676-5b8dba18c49a8972,16,8,8,16,16,16/16,16/16,32,32,9016,67772,true,true,verified
4,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t64,196676-4430ef836f836099,256,128,128,256,256,256/256,256/256,512,512,135736,7234052,true,true,verified
5,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t1,431-2bf1111a90aa75e9,4,2,2,4,4,4/4,4/4,8,8,2680,17150,true,true,verified
6,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t8,4596-3c94a6b3b4f60856,32,16,16,32,32,32/32,32/32,64,64,17464,180852,true,true,verified
7,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t32,52356-3d8d7e179a404ac4,128,64,64,128,128,128/128,128/128,256,256,68152,1953348,true,true,verified
8,four-d-advantage,stored-path-tree-regression,stored-path-tree-witness-007,66-3b66ac38fb79b288,8,3,5,7,7,7/7,7/7,15,15,5208,11071,true,true,verified
9,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t2,756-fa38b4baa5a63cc6,8,4,4,8,8,8/8,8/8,16,16,4792,30768,true,true,verified
10,four-d-advantage,laminar-chain,laminar-chain-128,761796-28389ab7085e8d7a,512,256,256,512,512,512/512,512/512,1024,1024,270904,27797892,true,true,verified
11,four-d-advantage,clean-complete-bipartite,clean-complete-bipartite-t128,761796-28389ab7085e8d7a,512,256,256,512,512,512/512,512/512,1024,1024,270904,27797892,true,true,verified
12,four-d-advantage,stored-path-tree-regression,stored-path-tree-witness-013,84-c18c5d003479fe3a,7,3,4,7,7,7/7,7/7,14,14,4920,9794,true,true,verified
13,four-d-advantage,asymmetric-orientation,asymmetric-orientation-128,9-f569d1792983e0d9,2,1,1,2,2,2/2,2/2,4,4,1624,2080,true,true,verified
14,four-d-advantage,stored-path-tree-regression,stored-path-tree-witness-014,97-a802a3f26b863d8f,9,4,5,9,10,10/9,9/10,18,19,6416,16873,true,true,verified
15,four-d-advantage,stored-path-tree-regression,stored-path-tree-witness-002,60-0cd441f7da7eea4c,6,3,3,8,9,9/8,8/9,14,15,4168,8520,true,true,verified
16,four-d-advantage,stored-path-tree-regression,stored-path-tree-witness-006,66-99148130cd2b82bc,6,3,3,8,9,9/8,8/9,14,15,4168,8865,true,true,verified
