family,instance_name,canonical_key,q,q_bucket,horizontal_chords,vertical_chords,boundary_complexity,clean_eligible,orientation_policy,path_tree_orientation,sigma_path_tree,sigma_4d,biclique_count_path_tree,biclique_count_4d,network_vertices_path_tree,network_arcs_path_tree,network_vertices_4d,network_arcs_4d,path_tree_construction_microseconds,four_d_representation_microseconds,path_tree_flow_microseconds,four_d_flow_microseconds,path_tree_completion_microseconds,four_d_completion_microseconds,path_tree_total_microseconds,four_d_total_microseconds,owned_path_tree,owned_4d,optimum_equal,rectangles_equal,status
laminar-chain,laminar-chain-128,761796-28389ab7085e8d7a,512,129-512,256,256,2052,true,bound-estimate,vertical-tree-horizontal-paths,512,512,1,1,515,1024,515,1024,452,55,69,53,71825,70907,72346,469601,"{""biclique_vectors"":4152,""boundary_index"":98504,""boundary_intervals_and_events"":61536,""canonical_segment_nodes"":56,""chain_edge_vectors"":2048,""compact_path_records"":6144,""compressed_flow_graph"":12312,""dual_edges_and_adjacency"":20504,""endpoint_tables"":16384,""gap_region_labels"":16416,""hld_arrays"":20560,""path_tree_certificate_payload"":12288}","{""biclique_vectors"":4152,""boundary_index"":98504,""certificate_payload"":47184,""chord_vectors"":16384,""completion_dense_arrays_estimate"":8297388,""completion_output_vectors"":3792928,""embedding_point_arrays"":32768,""endpoint_tables"":16384,""flow_graph_storage"":12312,""prepared_grid_storage_estimate"":8557420,""rectangle_recovery_dense_storage_estimate"":6922468}",true,true,verified
laminar-star,laminar-star-128,16641-d09de0909e633550,127,33-128,127,0,514,true,bound-estimate,horizontal-tree-vertical-paths,0,0,0,0,129,127,129,127,45,12,10,13,2318,2332,2373,30433,"{""biclique_vectors"":0,""boundary_index"":24680,""boundary_intervals_and_events"":18432,""canonical_segment_nodes"":0,""chain_edge_vectors"":1016,""compact_path_records"":0,""compressed_flow_graph"":2048,""dual_edges_and_adjacency"":10184,""endpoint_tables"":4064,""gap_region_labels"":4112,""hld_arrays"":10240,""path_tree_certificate_payload"":3048}","{""biclique_vectors"":0,""boundary_index"":24680,""certificate_payload"":11192,""chord_vectors"":4064,""completion_dense_arrays_estimate"":335012,""completion_output_vectors"":6176,""embedding_point_arrays"":8128,""endpoint_tables"":4064,""flow_graph_storage"":2048,""prepared_grid_storage_estimate"":567713,""rectangle_recovery_dense_storage_estimate"":166281}",true,true,verified
balanced-laminar,balanced-laminar-128,17029-671b6ede89b99c9c,128,33-128,128,0,518,true,bound-estimate,horizontal-tree-vertical-paths,0,0,0,0,130,128,130,128,41,6,8,19,2390,2386,2439,30374,"{""biclique_vectors"":0,""boundary_index"":24872,""boundary_intervals_and_events"":18576,""canonical_segment_nodes"":0,""chain_edge_vectors"":1024,""compact_path_records"":0,""compressed_flow_graph"":2064,""dual_edges_and_adjacency"":10264,""endpoint_tables"":4096,""gap_region_labels"":4144,""hld_arrays"":10320,""path_tree_certificate_payload"":3072}","{""biclique_vectors"":0,""boundary_index"":24872,""certificate_payload"":11280,""chord_vectors"":4096,""completion_dense_arrays_estimate"":342808,""completion_output_vectors"":6224,""embedding_point_arrays"":8192,""endpoint_tables"":4096,""flow_graph_storage"":2064,""prepared_grid_storage_estimate"":580937,""rectangle_recovery_dense_storage_estimate"":170161}",true,true,verified
asymmetric-orientation,asymmetric-orientation-128,9-f569d1792983e0d9,2,0-8,1,1,12,true,bound-estimate,vertical-tree-horizontal-paths,2,2,1,1,5,4,5,4,6,2,1,0,7,3,14,17,"{""biclique_vectors"":72,""boundary_index"":584,""boundary_intervals_and_events"":336,""canonical_segment_nodes"":56,""chain_edge_vectors"":8,""compact_path_records"":24,""compressed_flow_graph"":72,""dual_edges_and_adjacency"":104,""endpoint_tables"":64,""gap_region_labels"":96,""hld_arrays"":160,""path_tree_certificate_payload"":48}","{""biclique_vectors"":72,""boundary_index"":584,""certificate_payload"":264,""chord_vectors"":64,""completion_dense_arrays_estimate"":240,""completion_output_vectors"":192,""embedding_point_arrays"":128,""endpoint_tables"":64,""flow_graph_storage"":72,""prepared_grid_storage_estimate"":312,""rectangle_recovery_dense_storage_estimate"":88}",true,true,verified
clean-complete-bipartite,clean-complete-bipartite-t1,431-2bf1111a90aa75e9,4,0-8,2,2,20,true,bound-estimate,vertical-tree-horizontal-paths,4,4,1,1,7,8,7,8,3,1,1,1,45,40,49,233,"{""biclique_vectors"":88,""boundary_index"":968,""boundary_intervals_and_events"":576,""canonical_segment_nodes"":56,""chain_edge_vectors"":16,""compact_path_records"":48,""compressed_flow_graph"":120,""dual_edges_and_adjacency"":184,""endpoint_tables"":128,""gap_region_labels"":160,""hld_arrays"":240,""path_tree_certificate_payload"":96}","{""biclique_vectors"":88,""boundary_index"":968,""certificate_payload"":448,""chord_vectors"":128,""completion_dense_arrays_estimate"":4796,""completion_output_vectors"":1216,""embedding_point_arrays"":256,""endpoint_tables"":128,""flow_graph_storage"":120,""prepared_grid_storage_estimate"":5113,""rectangle_recovery_dense_storage_estimate"":3889}",true,true,verified
clean-complete-bipartite,clean-complete-bipartite-t2,756-fa38b4baa5a63cc6,8,0-8,4,4,36,true,bound-estimate,vertical-tree-horizontal-paths,8,8,1,1,11,16,11,16,3,2,1,1,74,69,78,426,"{""biclique_vectors"":120,""boundary_index"":1736,""boundary_intervals_and_events"":1056,""canonical_segment_nodes"":56,""chain_edge_vectors"":32,""compact_path_records"":96,""compressed_flow_graph"":216,""dual_edges_and_adjacency"":344,""endpoint_tables"":256,""gap_region_labels"":288,""hld_arrays"":400,""path_tree_certificate_payload"":192}","{""biclique_vectors"":120,""boundary_index"":1736,""certificate_payload"":816,""chord_vectors"":256,""completion_dense_arrays_estimate"":8352,""completion_output_vectors"":2848,""embedding_point_arrays"":512,""endpoint_tables"":256,""flow_graph_storage"":216,""prepared_grid_storage_estimate"":8824,""rectangle_recovery_dense_storage_estimate"":6832}",true,true,verified
clean-complete-bipartite,clean-complete-bipartite-t4,1676-5b8dba18c49a8972,16,9-32,8,8,68,true,bound-estimate,vertical-tree-horizontal-paths,16,16,1,1,19,32,19,32,6,3,2,2,157,149,165,944,"{""biclique_vectors"":184,""boundary_index"":3272,""boundary_intervals_and_events"":2016,""canonical_segment_nodes"":56,""chain_edge_vectors"":64,""compact_path_records"":192,""compressed_flow_graph"":408,""dual_edges_and_adjacency"":664,""endpoint_tables"":512,""gap_region_labels"":544,""hld_arrays"":720,""path_tree_certificate_payload"":384}","{""biclique_vectors"":184,""boundary_index"":3272,""certificate_payload"":1552,""chord_vectors"":512,""completion_dense_arrays_estimate"":18404,""completion_output_vectors"":7456,""embedding_point_arrays"":1024,""endpoint_tables"":512,""flow_graph_storage"":408,""prepared_grid_storage_estimate"":19276,""rectangle_recovery_dense_storage_estimate"":15172}",true,true,verified
clean-complete-bipartite,clean-complete-bipartite-t8,4596-3c94a6b3b4f60856,32,9-32,16,16,132,true,bound-estimate,vertical-tree-horizontal-paths,32,32,1,1,35,64,35,64,12,6,4,3,429,413,445,2505,"{""biclique_vectors"":312,""boundary_index"":6344,""boundary_intervals_and_events"":3936,""canonical_segment_nodes"":56,""chain_edge_vectors"":128,""compact_path_records"":384,""compressed_flow_graph"":792,""dual_edges_and_adjacency"":1304,""endpoint_tables"":1024,""gap_region_labels"":1056,""hld_arrays"":1360,""path_tree_certificate_payload"":768}","{""biclique_vectors"":312,""boundary_index"":6344,""certificate_payload"":3024,""chord_vectors"":1024,""completion_dense_arrays_estimate"":50268,""completion_output_vectors"":22048,""embedding_point_arrays"":2048,""endpoint_tables"":1024,""flow_graph_storage"":792,""prepared_grid_storage_estimate"":52300,""rectangle_recovery_dense_storage_estimate"":41668}",true,true,verified
clean-complete-bipartite,clean-complete-bipartite-t16,14756-3c8bf52b277c88dc,64,33-128,32,32,260,true,bound-estimate,vertical-tree-horizontal-paths,64,64,1,1,67,128,67,128,16,10,6,6,1428,1331,1450,8021,"{""biclique_vectors"":568,""boundary_index"":12488,""boundary_intervals_and_events"":7776,""canonical_segment_nodes"":56,""chain_edge_vectors"":256,""compact_path_records"":768,""compressed_flow_graph"":1560,""dual_edges_and_adjacency"":2584,""endpoint_tables"":2048,""gap_region_labels"":2080,""hld_arrays"":2640,""path_tree_certificate_payload"":1536}","{""biclique_vectors"":568,""boundary_index"":12488,""certificate_payload"":5968,""chord_vectors"":2048,""completion_dense_arrays_estimate"":161036,""completion_output_vectors"":72736,""embedding_point_arrays"":4096,""endpoint_tables"":2048,""flow_graph_storage"":1560,""prepared_grid_storage_estimate"":166828,""rectangle_recovery_dense_storage_estimate"":133924}",true,true,verified
clean-complete-bipartite,clean-complete-bipartite-t32,52356-3d8d7e179a404ac4,128,33-128,64,64,516,true,bound-estimate,vertical-tree-horizontal-paths,128,128,1,1,131,256,131,256,34,18,13,11,4718,4657,4765,28199,"{""biclique_vectors"":1080,""boundary_index"":24776,""boundary_intervals_and_events"":15456,""canonical_segment_nodes"":56,""chain_edge_vectors"":512,""compact_path_records"":1536,""compressed_flow_graph"":3096,""dual_edges_and_adjacency"":5144,""endpoint_tables"":4096,""gap_region_labels"":4128,""hld_arrays"":5200,""path_tree_certificate_payload"":3072}","{""biclique_vectors"":1080,""boundary_index"":24776,""certificate_payload"":11856,""chord_vectors"":4096,""completion_dense_arrays_estimate"":570732,""completion_output_vectors"":260128,""embedding_point_arrays"":8192,""endpoint_tables"":4096,""flow_graph_storage"":3096,""prepared_grid_storage_estimate"":589804,""rectangle_recovery_dense_storage_estimate"":475492}",true,true,verified
