family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
A,boundary-heavy,1,8,0,2,1,0,1,1,0,0,2,0,61,30,27,1,1,20,20,0,true,true,true,true,true,8,0,1,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,6,0,0,1616,1616,1616,"{""polygon_arrangement"":0,""polygon_prepared_context"":1616}","{""polygon_arrangement"":79,""polygon_prepared_context"":1616}","{""polygon_arrangement"":79,""polygon_prepared_context"":1616}",verified,
B,aligned-reflex-heavy,1,20,0,8,8,4,8,4,0,2,4,0,81,50,51,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,14,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}",verified,
C,hole-heavy,1,8,1,4,4,0,4,1,0,0,4,0,21,17,16,6,4,24,24,0,true,true,true,true,true,32,0,4,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,8,0,0,1680,1680,1680,"{""polygon_arrangement"":0,""polygon_prepared_context"":1680}","{""polygon_arrangement"":97,""polygon_prepared_context"":1680}","{""polygon_arrangement"":97,""polygon_prepared_context"":1680}",verified,
D,completion-heavy,1,20,0,8,8,4,8,4,0,2,4,0,58,31,45,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,14,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}",verified,
E,arrangement-heavy,1,12,0,4,2,0,2,1,0,0,4,0,27,20,22,6,2,32,32,0,true,true,true,true,true,24,0,2,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,12,0,0,2408,2408,2408,"{""polygon_arrangement"":0,""polygon_prepared_context"":2408}","{""polygon_arrangement"":133,""polygon_prepared_context"":2408}","{""polygon_arrangement"":133,""polygon_prepared_context"":2408}",verified,
F,huge-coordinate,1,20,0,8,8,4,8,4,0,2,4,0,51,29,35,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,14,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}",verified,
G,clean-path-tree,1,20,0,8,8,4,8,4,0,2,4,0,44,24,31,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,14,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}","{""polygon_arrangement"":181,""polygon_prepared_context"":4088}",verified,
H,non-clean-fallback,1,8,1,4,4,0,4,1,0,0,4,0,18,12,13,6,4,24,24,0,true,true,true,true,true,32,0,4,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,8,0,0,1680,1680,1680,"{""polygon_arrangement"":0,""polygon_prepared_context"":1680}","{""polygon_arrangement"":97,""polygon_prepared_context"":1680}","{""polygon_arrangement"":97,""polygon_prepared_context"":1680}",verified,
A,boundary-heavy,2,12,0,4,2,0,2,1,0,0,4,0,23,14,16,6,2,32,32,0,true,true,true,true,true,24,0,2,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,12,0,0,2408,2408,2408,"{""polygon_arrangement"":0,""polygon_prepared_context"":2408}","{""polygon_arrangement"":133,""polygon_prepared_context"":2408}","{""polygon_arrangement"":133,""polygon_prepared_context"":2408}",verified,
B,aligned-reflex-heavy,2,36,0,16,32,12,32,12,0,6,4,0,137,64,76,120,32,104,104,12,true,true,true,true,true,1152,0,32,0,0,0,0,0,0,6,0,84,0,4,0,4,0,0,22,0,0,7080,7080,7080,"{""polygon_arrangement"":0,""polygon_prepared_context"":7080}","{""polygon_arrangement"":289,""polygon_prepared_context"":7080}","{""polygon_arrangement"":289,""polygon_prepared_context"":7080}",verified,
