family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
A,staircase-sparse,1,8,0,2,1,0,1,1,0,0,2,0,4,3,12,10,24,4,3,175,1776,272,11,19,3,75,54,41,1,1,20,20,0,true,true,true,true,true,8,0,1,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,1616,1616,1616,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":1616,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":272,""polygon_prepared_context"":1616,""polygon_sparse_subdivision"":1776}","{""polygon_arrangement"":0,""polygon_cut_index"":272,""polygon_prepared_context"":1616,""polygon_sparse_subdivision"":1776}",verified,
B,many-coordinates-few-faces,1,12,0,4,2,0,2,1,0,0,4,0,6,4,24,16,40,8,5,325,2944,448,11,21,2,34,50,44,6,2,32,32,0,true,true,true,true,true,24,0,2,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,2408,2408,2408,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":2408,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":448,""polygon_prepared_context"":2408,""polygon_sparse_subdivision"":2944}","{""polygon_arrangement"":0,""polygon_cut_index"":448,""polygon_prepared_context"":2408,""polygon_sparse_subdivision"":2944}",verified,
C,hole-coordinate-cross-product,1,8,1,4,4,0,4,1,0,0,4,0,4,4,16,12,32,8,4,225,2336,376,8,12,1,23,33,31,6,4,24,24,0,true,true,true,true,true,32,0,4,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,1680,1680,1680,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":1680,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":376,""polygon_prepared_context"":1680,""polygon_sparse_subdivision"":2336}","{""polygon_arrangement"":0,""polygon_cut_index"":376,""polygon_prepared_context"":1680,""polygon_sparse_subdivision"":2336}",verified,
D,completion-heavy,1,20,0,8,8,4,8,4,0,2,4,0,6,6,36,24,60,12,7,469,4416,576,19,23,3,87,76,69,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,0,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}",verified,
E,sparse-path-tree,1,20,0,8,8,4,8,4,0,2,4,0,6,6,36,24,60,12,7,469,4416,576,11,13,1,59,49,51,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,0,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}",verified,
F,4d-fallback-sparse,1,8,1,4,4,0,4,1,0,0,4,0,4,4,16,12,32,8,4,225,2336,376,7,8,1,19,24,23,6,4,24,24,0,true,true,true,true,true,32,0,4,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,1680,1680,1680,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":1680,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":376,""polygon_prepared_context"":1680,""polygon_sparse_subdivision"":2336}","{""polygon_arrangement"":0,""polygon_cut_index"":376,""polygon_prepared_context"":1680,""polygon_sparse_subdivision"":2336}",verified,
G,aligned-reflex-heavy,1,20,0,8,8,4,8,4,0,2,4,0,6,6,36,24,60,12,7,469,4416,576,9,12,1,52,43,48,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,0,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}",verified,
H,huge-coordinate,1,20,0,8,8,4,8,4,0,2,4,0,6,6,36,24,60,12,7,469,4416,576,9,11,2,48,41,46,28,8,56,56,4,true,true,true,true,true,160,0,8,0,0,0,0,0,0,6,0,28,0,4,0,4,0,0,0,0,0,4088,4088,4088,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}","{""polygon_arrangement"":0,""polygon_cut_index"":576,""polygon_prepared_context"":4088,""polygon_sparse_subdivision"":4416}",verified,
A,staircase-sparse,2,12,0,4,2,0,2,1,0,0,4,0,6,4,24,16,40,8,5,325,2944,448,8,10,1,25,30,29,6,2,32,32,0,true,true,true,true,true,24,0,2,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,2408,2408,2408,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":2408,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":448,""polygon_prepared_context"":2408,""polygon_sparse_subdivision"":2944}","{""polygon_arrangement"":0,""polygon_cut_index"":448,""polygon_prepared_context"":2408,""polygon_sparse_subdivision"":2944}",verified,
B,many-coordinates-few-faces,2,20,0,8,4,0,4,1,0,0,8,0,10,6,60,28,72,16,9,757,5280,888,20,24,3,68,65,59,28,4,56,56,0,true,true,true,true,true,80,0,4,0,0,0,0,0,0,10,0,0,0,8,0,8,0,0,0,0,0,4376,4376,4376,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4376,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":888,""polygon_prepared_context"":4376,""polygon_sparse_subdivision"":5280}","{""polygon_arrangement"":0,""polygon_cut_index"":888,""polygon_prepared_context"":4376,""polygon_sparse_subdivision"":5280}",verified,
