family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,subdivision_input_segment_count,subdivision_reported_intersections,reference_subdivision_candidate_pair_tests,sweep_subdivision_candidate_pair_tests,reference_subdivision_recovery_microseconds,sweep_subdivision_recovery_microseconds,dense_recovery_microseconds,reference_validator_microseconds,event_validator_microseconds,dense_validator_microseconds,reference_validator_boundary_edge_scans,reference_validator_active_rectangle_resorts,event_validator_boundary_edge_scans,event_validator_active_rectangle_resorts,sparse_materialized_tree_nodes,sparse_logical_tree_nodes,geometry_backends_equal,auto_selected_backend,actual_fastest_recovery_backend,auto_time_regret_microseconds,auto_memory_regret_bytes,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
A,staircase-sparse,16,68,0,32,16,0,16,1,0,0,32,0,34,18,612,100,264,64,33,7045,30512,5208,126,145,14,2005,367,332,100,132,404,0,93,106,24,19,11,3,1122,33,0,0,42,344,true,dense-arrangement,dense-arrangement,0,0,496,16,200,200,0,true,true,true,true,true,1088,0,16,0,0,0,0,0,0,34,0,0,0,32,0,32,0,0,0,0,0,16760,16760,16760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":5208,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":30512}","{""polygon_arrangement"":0,""polygon_cut_index"":5208,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":30512}",verified,
B,many-coordinates-few-faces,16,132,0,64,32,0,32,1,0,0,64,0,66,34,2244,196,520,128,65,25285,60208,10520,255,212,23,9142,592,589,196,260,1316,0,164,181,52,35,21,8,4290,65,0,0,83,664,true,dense-arrangement,dense-arrangement,0,0,2016,32,392,392,0,true,true,true,true,true,4224,0,32,0,0,0,0,0,0,66,0,0,0,64,0,64,0,0,0,0,0,34424,34424,34424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}",verified,
C,hole-coordinate-cross-product,16,68,16,64,1024,30,1024,30,30,0,4,0,34,4,136,72,212,68,19,1725,25248,4504,41,75,8,584,267,240,102,136,200,0,56,61,9,13,6,0,1122,33,0,0,24,280,true,dense-arrangement,dense-arrangement,0,0,2016,1024,264,264,30,true,true,true,true,true,69632,0,1024,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,14760,14760,14760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":4504,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":25248}","{""polygon_arrangement"":0,""polygon_cut_index"":4504,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":25248}",verified,
D,completion-heavy,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,93712,15536,352,328,48,34345,1112,1077,356,452,2884,0,265,281,73,47,40,16,8450,65,0,0,66,528,true,dense-arrangement,dense-arrangement,61,0,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}",verified,
E,sparse-path-tree,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,93712,15536,362,313,42,34027,1066,1074,356,452,2884,0,264,283,72,47,39,20,8450,65,0,0,66,528,true,dense-arrangement,dense-arrangement,0,0,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}",verified,
F,4d-fallback-sparse,16,68,16,64,124,15,124,15,15,0,34,0,34,19,646,102,302,98,34,7425,34280,7352,111,108,12,2249,318,312,117,166,710,0,81,91,16,16,10,2,1122,33,0,0,52,352,true,dense-arrangement,dense-arrangement,0,0,2016,124,264,264,15,true,true,true,true,true,8432,0,124,0,0,0,0,0,0,36,0,0,0,34,0,34,0,0,0,0,0,15536,15536,15536,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":15536,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7352,""polygon_prepared_context"":15536,""polygon_sparse_subdivision"":34280}","{""polygon_arrangement"":0,""polygon_cut_index"":7352,""polygon_prepared_context"":15536,""polygon_sparse_subdivision"":34280}",verified,
G,aligned-reflex-heavy,16,260,0,128,2048,124,2048,124,0,62,4,0,36,36,1296,264,660,132,67,14689,75776,10944,165,231,29,5206,1026,1061,326,392,3784,0,196,232,29,20,27,4,4550,35,0,0,34,288,true,dense-arrangement,dense-arrangement,0,0,8128,2048,776,776,124,true,true,true,true,true,532480,0,2048,0,0,0,0,0,0,6,0,868,0,4,0,4,0,0,0,0,0,51432,51432,51432,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}",verified,
H,huge-coordinate,16,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,47248,7408,159,154,20,5003,480,487,180,228,932,0,121,134,28,20,17,4,2178,33,0,0,34,272,true,dense-arrangement,dense-arrangement,0,0,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}",verified,
v1.3-A,range-dense-intersection-sparse,16,260,0,128,2048,124,2048,124,0,62,4,0,36,36,1296,264,660,132,67,14689,75776,10944,165,222,28,5170,987,1147,326,392,3784,0,208,232,30,20,32,4,4550,35,0,0,34,288,true,dense-arrangement,dense-arrangement,0,0,8128,2048,776,776,124,true,true,true,true,true,532480,0,2048,0,0,0,0,0,0,6,0,868,0,4,0,4,0,0,0,0,0,51432,51432,51432,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}",verified,
v1.3-B,intersection-dense,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,93712,15536,323,285,41,33953,942,999,356,452,2884,0,252,268,70,45,38,16,8450,65,0,0,66,528,true,dense-arrangement,dense-arrangement,0,0,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}",verified,
